ticker,MICT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-06-29,-15.8333
2004-07-01,48.5149
2004-07-16,0.0
2004-07-19,-21.3333
2004-08-04,48.3051
2004-10-12,0.0
2004-10-15,0.0
2004-10-26,-2.8571
2004-11-22,-20.5882
2004-12-03,-25.1852
2004-12-07,73.2673
2004-12-08,-42.2857
2004-12-17,73.2673
2005-05-03,-40.0
2007-05-04,4.7619
2007-08-09,-4.5455
2007-08-15,4.7619
2007-08-16,-22.7273
2007-11-27,-67.0588
2007-11-30,-28.5714
2007-12-11,-25.0
2007-12-14,0.0
2008-01-18,33.3333
2009-01-09,0.0
2009-02-24,-50.0
2011-04-01,950.0
2011-04-26,0.0
2011-04-27,-3.8095
2011-04-29,197.0297
2011-05-20,-33.3333
2011-07-11,-44.5
2012-07-09,69.3694
2012-10-10,-44.1489
2012-11-16,209.5238
2012-11-19,1.5385
2012-11-26,0.303
2012-12-18,-0.3021
2012-12-27,0.0
2013-01-11,0.0
2013-01-14,-0.303
2013-01-16,0.0
2013-01-18,0.0
2013-01-22,15.1976
2013-01-24,5.277
2013-02-05,0.0
2013-02-13,0.2506
2013-02-14,0.0
2013-02-15,-1.25
2013-03-20,10.7595
2013-04-09,17.0286
2013-04-18,6.4453
2013-04-19,12.3853
2013-04-22,-6.1224
2013-04-24,-61.7391
2013-04-25,-6.8182
2013-04-26,4.878
2013-04-29,3.2558
2013-04-30,-2.0242
2013-05-01,-4.1407
2013-05-02,1.9184999999999999
2013-05-03,0.7059
2013-05-06,7.4737
2013-05-07,1.9593
2013-05-08,2.3454
2013-05-09,-2.0833
2013-05-10,5.1064
2013-05-13,5.2632
2013-05-14,-4.0385
2013-05-15,0.0
2013-05-16,0.4008
2013-05-17,3.5928
2013-05-20,-4.6243
2013-05-21,0.6061
2013-05-22,-2.6104000000000003
2013-05-23,-2.6778
2013-05-24,3.8108
2013-05-28,1.8367
2013-05-29,-5.6112
2013-05-30,4.034
2013-05-31,-3.8776
2013-06-03,1.9108
2013-06-04,-2.0833
2013-06-05,-4.2553
2013-06-06,-4.2222
2013-06-07,2.0882
2013-06-10,2.2727
2013-06-11,-1.3333
2013-06-12,-7.4324
2013-06-13,5.5961
2013-06-14,-0.7834
2013-06-17,1.0218
2013-06-18,3.4483
2013-06-19,0.0
2013-06-20,-2.2222
2013-06-21,5.2273
2013-06-24,1.5119
2013-06-25,0.0
2013-06-26,-1.2766
2013-06-27,-2.3707
2013-06-28,-0.2208
2013-07-01,0.0
