ticker,GHC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.5186
2000-01-04,-2.2376
2000-01-05,1.0028
2000-01-06,0.4088
2000-01-07,1.1517
2000-01-10,5.0719
2000-01-11,0.0438
2000-01-12,0.3501
2000-01-13,1.7771
2000-01-14,-2.1103
2000-01-18,0.5034
2000-01-19,-0.5226
2000-01-20,-0.1313
2000-01-21,0.2411
2000-01-24,-0.8528
2000-01-25,-0.8381
2000-01-26,0.863
2000-01-27,-1.1494
2000-01-28,-1.3864
2000-01-31,-0.2268
2000-02-01,1.0682
2000-02-02,-1.4841
2000-02-03,0.388
2000-02-04,-0.6253
2000-02-07,-0.5606
2000-02-08,-1.4266
2000-02-09,-0.9921
2000-02-10,-1.3792
2000-02-11,-1.7213
2000-02-14,-1.6298
2000-02-15,-0.0495
2000-02-16,-2.004
2000-02-17,0.0
2000-02-18,-0.3913
2000-02-22,-0.5196
2000-02-23,0.0892
2000-02-24,-2.4564
2000-02-25,-0.0522
2000-02-28,1.3054999999999999
2000-02-29,0.567
2000-03-01,0.2563
2000-03-02,1.3548
2000-03-03,0.3279
2000-03-06,-1.4454
2000-03-07,-1.3391
2000-03-08,-0.5171
2000-03-09,1.0525
2000-03-10,-2.0702
2000-03-13,1.4706000000000001
2000-03-14,-0.3364
2000-03-15,2.3111
2000-03-16,4.1624
2000-03-17,-0.3899
2000-03-20,0.5871
2000-03-21,-2.7237
2000-03-22,1.8875
2000-03-23,1.4354
2000-03-24,-1.8868
2000-03-27,-0.5917
2000-03-28,0.1488
2000-03-29,-0.5448
2000-03-30,2.3655
2000-03-31,5.2785
2000-04-03,-1.5712000000000002
2000-04-04,-2.8638
2000-04-05,-0.2417
2000-04-06,0.7873
2000-04-07,-0.4927
2000-04-10,-1.4855
2000-04-11,-0.0123
2000-04-12,0.613
2000-04-13,-1.438
2000-04-14,-2.8684
2000-04-17,1.4002
2000-04-18,-0.1054
2000-04-19,0.5166
2000-04-20,-0.0376
2000-04-24,-1.2792
2000-04-25,0.0508
2000-04-26,-0.4317
2000-04-27,-0.6376
2000-04-28,0.2053
2000-05-01,-0.8197
2000-05-02,-0.9168
2000-05-03,-1.5248
2000-05-04,2.6997999999999998
2000-05-05,0.0902
2000-05-08,-0.6051
2000-05-09,3.0052
2000-05-10,-1.3707
2000-05-11,1.1985000000000001
2000-05-12,0.1008
2000-05-15,1.5985
2000-05-16,0.7929
2000-05-17,-1.8437000000000001
2000-05-18,-0.7012
2000-05-19,-1.6520000000000001
