ticker,KURA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-09-22,-6.6667
2015-10-15,0.0
2015-10-16,0.0
2015-10-19,0.0
2015-10-20,-0.7143
2015-10-21,-2.518
2015-10-22,-0.3727
2015-10-23,1.4852
2015-10-26,2.1898
2015-10-27,14.2857
2015-11-02,25.0
2015-11-03,-30.5
2015-11-04,-13.6691
2015-11-05,-34.6667
2015-11-06,2.9337
2015-11-09,7.8067
2015-11-10,-4.023
2015-11-11,3.5928
2015-11-12,0.5202
2015-11-13,-4.1978
2015-11-16,-2.0408
2015-11-17,-7.3529
2015-11-18,2.5132
2015-11-19,0.9919
2015-11-20,5.4061
2015-11-23,-1.8182
2015-11-24,-1.2346
2015-11-25,0.0
2015-11-27,0.0
2015-11-30,-2.875
2015-12-01,2.9600999999999997
2015-12-02,-0.25
2015-12-03,-0.0016
2015-12-04,-2.6301
2015-12-07,-5.2767
2015-12-08,-0.8152
2015-12-09,8.9041
2015-12-10,0.6289
2015-12-11,-0.875
2015-12-14,4.0353
2015-12-15,-0.4848
2015-12-16,-0.9744
2015-12-17,-1.476
2015-12-18,-3.6205
2015-12-21,-5.0518
2015-12-22,-0.5457
2015-12-23,-1.3717
2015-12-24,-3.1832
2015-12-28,-1.4527
2015-12-29,2.1866
2015-12-30,3.8516
2015-12-31,15.3846
2016-01-04,2.3810000000000002
2016-01-05,-5.2326
2016-01-06,-13.0061
2016-01-07,-2.2567
2016-01-08,0.7215
2016-01-11,0.0
2016-01-12,1.5758999999999999
2016-01-13,-4.2313
2016-01-14,-4.7128
2016-01-15,-7.728
2016-01-19,-6.1977
2016-01-20,-13.2143
2016-01-21,-3.9095
2016-01-22,11.349
2016-01-25,1.3462
2016-01-26,1.8975
2016-01-27,-11.1732
2016-01-28,-2.0964
2016-01-29,2.7837
2016-02-01,-5.625
2016-02-02,-0.4415
2016-02-03,-6.4302
2016-02-04,-5.2133
2016-02-05,-2.0
2016-02-08,-5.8673
2016-02-09,-11.6531
2016-02-10,6.7485
2016-02-11,-2.0079
2016-02-12,5.2747
2016-02-16,0.0
2016-02-17,11.6992
2016-02-18,2.2444
2016-02-19,2.439
2016-02-22,12.1429
2016-02-23,-4.8832
2016-02-24,2.4554
2016-02-25,5.6645
2016-02-26,-8.2474
2016-02-29,-7.8652
2016-03-01,1.2195
2016-03-02,-0.7229
2016-03-03,1.9417
2016-03-04,9.0476
2016-03-07,-4.3668
2016-03-08,0.0
2016-03-09,-0.2283
2016-03-10,-2.5172
