ticker,INPX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-06-07,17.0732
2002-06-26,35.4167
2002-07-18,0.0
2002-07-25,33.8462
2002-07-30,9.1954
2002-08-01,5.2632
2002-08-06,2.0
2002-08-16,5.8824
2002-08-28,6.4815
2002-09-04,15.6522
2002-09-06,10.526299999999999
2002-09-09,6.8027
2002-09-10,7.0064
2002-09-16,4.1667
2002-09-17,1.1429
2002-09-19,7.3446
2002-09-20,2.6316
2002-09-30,0.0
2002-10-04,1.0256
2002-10-23,4.0609
2002-10-24,0.0
2002-10-28,0.9756
2003-02-03,1.4493
2003-02-05,3.3333
2003-02-10,2.3041
2003-02-12,-0.9009
2003-02-13,2.2727
2003-02-14,1.7778
2003-02-21,0.4367
2003-02-25,0.8696
2003-03-03,0.8621
2003-03-05,1.2821
2003-03-07,0.8439
2003-03-11,1.6736
2003-03-26,0.823
2003-03-27,1.6327
2003-05-06,0.8032
2003-05-09,-0.3984
2003-05-13,2.0
2003-05-16,-1.9607999999999999
2003-05-20,3.2
2003-05-21,0.7752
2003-05-22,1.9231
2003-05-23,1.8868
2003-05-27,0.0
2003-05-30,1.8519
2003-06-02,1.8182
2003-06-17,1.7856999999999998
2003-06-30,1.7544
2003-07-22,1.7241
2003-07-23,0.0
2003-08-14,1.6949
2003-08-19,3.3333
2003-08-21,3.2258
2003-08-25,2.5
2003-08-27,2.1341
2003-08-28,1.4925
2003-08-29,2.9412000000000003
2003-09-03,2.8571
2003-09-05,4.1667
2003-09-16,1.3333
2003-09-19,1.0526
2003-09-23,1.8229
2003-09-24,6.1381
2003-09-25,2.4096
2003-09-26,1.1764999999999999
2003-09-29,3.4884
2003-09-30,2.2472
2003-10-01,1.0989
2003-10-02,0.0
2003-10-03,1.087
2003-10-08,-1.0753
2003-10-09,0.0
2003-10-13,0.0
2003-10-15,2.1739
2003-10-16,-1.0638
2003-10-20,-1.0753
2003-10-21,-2.1739
2003-10-22,1.1111
2003-10-28,1.0989
2003-10-31,1.087
2003-11-03,-1.0753
2003-11-04,1.087
2003-11-05,-2.1505
2003-11-06,-1.0989
2003-11-07,11.5556
2003-11-10,-2.3904
2003-11-11,5.102
2003-11-12,2.9126
2003-11-13,-1.8868
2003-11-14,0.0
2003-11-17,1.9231
2003-11-18,0.0
2003-11-19,0.0
2003-11-20,0.0
2003-11-21,0.0
2003-11-24,-1.8868
2003-11-25,3.8462
2003-11-26,4.6296
2003-11-28,0.885
2003-12-01,1.7544
2003-12-02,-0.8621
