ticker,APM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-12-18,-9.1772
2018-12-19,-5.8537
2018-12-20,13.2494
2018-12-21,-0.9804
2018-12-24,3.6139
2018-12-26,-0.1115
2018-12-27,0.0638
2018-12-28,-2.167
2018-12-31,-1.1075
2019-01-02,3.0303
2019-01-03,0.1918
2019-01-07,-0.1276
2019-01-08,-4.1534
2019-01-09,-2.0
2019-01-10,2.0408
2019-01-11,-1.2
2019-01-14,-1.1471
2019-01-15,3.4812
2019-01-16,0.1319
2019-01-17,0.0
2019-01-18,-4.7431
2019-01-22,-3.1812
2019-01-23,6.2143
2019-01-24,-1.8157
2019-01-25,-2.4657999999999998
2019-01-28,-2.0365
2019-01-29,0.0717
2019-01-30,2.0774
2019-01-31,6.5965
2019-02-01,0.1317
2019-02-04,-2.0381
2019-02-05,2.5503
2019-02-06,-0.5236
2019-02-07,-0.4605
2019-02-08,-1.388
2019-02-11,-2.815
2019-02-12,3.3103
2019-02-13,-0.267
2019-02-14,-0.7363
2019-02-15,0.472
2019-02-19,-0.4698
2019-02-20,-0.2023
2019-02-21,-1.0135
2019-02-22,0.8874
2019-02-25,-0.406
2019-02-27,0.0679
2019-02-28,0.1358
2019-03-01,1.7627000000000002
2019-03-04,-1.7322
2019-03-05,0.0
2019-03-06,-0.339
2019-03-07,-2.1769
2019-03-08,-0.4172
2019-03-11,-2.7933
2019-03-12,-2.0115
2019-03-13,-2.346
2019-03-14,-1.6517
2019-03-15,-1.4504000000000001
2019-03-18,1.1619
2019-03-19,-0.0191
2019-03-20,1.0913
2019-03-21,-0.4545
2019-03-22,0.2283
2019-03-25,-0.5315
2019-03-26,0.916
2019-03-27,0.2269
2019-03-28,0.1509
2019-03-29,1.4318
2019-04-01,0.2972
2019-04-02,-0.8148
2019-04-03,3.5101
2019-04-04,-0.2886
2019-04-05,-0.5065
2019-04-08,-0.3636
2019-04-09,-0.5839
2019-04-10,0.3671
2019-04-11,-1.2436
2019-04-12,-0.8889
2019-04-15,-0.5979
2019-04-16,1.8045
2019-04-17,0.1477
2019-04-18,-1.1799
2019-04-22,0.0746
2019-04-23,0.2983
2019-04-24,2.5279
2019-04-25,5.0036
2019-04-26,-5.0414
2019-04-29,1.6726999999999999
2019-04-30,2.1459
2019-05-01,3.9853
2019-05-02,7.1445
2019-05-03,8.4224
2019-05-06,3.4783
2019-05-07,10.7563
2019-05-08,7.1826
2019-05-09,-0.8966
2019-05-10,2.4286
2019-05-13,-4.1376
