ticker,CELP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-01-15,6.5
2014-01-16,1.3615
2014-01-17,4.0296
2014-01-21,1.5138
2014-01-22,1.9298
2014-01-23,0.4733
2014-01-24,-1.7987
2014-01-27,2.4858000000000002
2014-01-28,-1.8723
2014-01-29,0.5637
2014-01-30,0.0
2014-01-31,0.6468
2014-02-03,0.5141
2014-02-04,-0.2984
2014-02-05,0.4275
2014-02-06,0.0851
2014-02-07,0.2127
2014-02-10,-1.7827
2014-02-11,5.0994
2014-02-12,-0.8635
2014-02-13,1.742
2014-02-14,1.1007
2014-02-18,-1.129
2014-02-19,-1.2235
2014-02-20,-3.3031
2014-02-21,-1.1529
2014-02-24,2.635
2014-02-25,-0.5892
2014-02-26,-0.9738
2014-02-27,4.3181
2014-02-28,-2.0902
2014-03-03,2.5115
2014-03-04,-2.0008
2014-03-05,0.0417
2014-03-06,-1.4994
2014-03-07,0.1691
2014-03-10,-0.7598
2014-03-11,-0.5104
2014-03-12,0.1283
2014-03-13,-0.6405
2014-03-14,0.1719
2014-03-17,-3.2175
2014-03-18,-2.0833
2014-03-19,-1.3128
2014-03-20,1.5596
2014-03-21,1.6712
2014-03-24,-1.7330999999999999
2014-03-25,0.8143
2014-03-26,-1.1659
2014-03-27,-0.7713
2014-03-28,0.0
2014-03-31,-1.2346
2014-04-01,1.7593
2014-04-02,1.2739
2014-04-03,4.0431
2014-04-04,-1.4249
2014-04-07,4.424
2014-04-08,0.6292
2014-04-09,0.2084
2014-04-10,0.0
2014-04-11,-1.6223
2014-04-14,0.4228
2014-04-15,0.8
2014-04-16,0.3342
2014-04-17,-0.5828
2014-04-21,0.2513
2014-04-22,0.1671
2014-04-23,-0.5004
2014-04-24,-1.1735
2014-04-25,-0.1272
2014-04-28,-0.1699
2014-04-29,3.9047
2014-04-30,-1.2199
2014-05-01,-0.5387
2014-05-02,-1.7025000000000001
2014-05-05,-0.0429
2014-05-06,1.8900000000000001
2014-05-07,-1.4334
2014-05-08,0.5988
2014-05-09,-3.2313
2014-05-12,1.3181
2014-05-13,-0.2168
2014-05-14,-0.9126
2014-05-15,-2.8509
2014-05-16,0.7223
2014-05-19,1.5688
2014-05-20,0.8826
2014-05-21,-2.0997
2014-05-22,-0.8043
2014-05-23,-0.7207
2014-05-27,3.7205
2014-05-28,-0.5337
2014-05-29,0.4046
2014-05-30,1.4017
2014-06-02,0.0
2014-06-03,0.216
2014-06-04,0.431
2014-06-05,-0.6867
2014-06-06,0.5618
