ticker,RMED US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-09-27,17.647100000000002
2018-09-28,-9.0
2018-10-01,-18.6264
2018-10-02,-3.5111
2018-10-03,1.3996
2018-10-04,-4.0718
2018-10-05,-3.4532
2018-10-08,-3.1297
2018-10-09,-2.3077
2018-10-10,-3.5433
2018-10-11,-0.4082
2018-10-12,-1.0656
2018-10-15,-6.8766
2018-10-16,1.4235
2018-10-17,-1.7544
2018-10-18,6.6964
2018-10-19,11.7155
2018-10-22,-10.0375
2018-10-23,-4.2465
2018-10-24,-1.7391
2018-10-25,-4.6903
2018-10-26,3.9926
2018-10-29,-4.375
2018-10-30,-1.0271
2018-10-31,0.9434
2018-11-01,-1.4019
2018-11-02,2.8436
2018-11-05,-4.0553
2018-11-06,-4.2267
2018-11-07,-2.2066
2018-11-08,-9.641
2018-11-09,1.1351
2018-11-12,-5.6117
2018-11-13,-2.1403
2018-11-14,3.0377
2018-11-15,0.8255
2018-11-16,-4.7953
2018-11-19,2.0885
2018-11-20,-1.6846999999999999
2018-11-21,2.8152
2018-11-23,-7.2619
2018-11-26,3.9795
2018-11-27,-2.2222
2018-11-28,5.0505
2018-11-29,8.0529
2018-11-30,11.2347
2018-12-03,-0.4
2018-12-04,-2.6104000000000003
2018-12-06,-5.2577
2018-12-07,-1.741
2018-12-10,-2.1041
2018-12-11,-4.7511
2018-12-12,-4.1568
2018-12-13,-0.1239
2018-12-14,-3.2258
2018-12-17,-1.2821
2018-12-18,3.6364
2018-12-19,-0.1253
2018-12-20,0.7528
2018-12-21,-0.7472
2018-12-24,-6.399
2018-12-26,0.9383
2018-12-27,-2.3904
2018-12-28,3.2653
2018-12-31,4.7431
2019-01-02,3.5220000000000002
2019-01-03,0.6075
2019-01-04,2.2947
2019-01-07,9.7993
2019-01-08,3.871
2019-01-09,0.4141
2019-01-10,-1.5464
2019-01-11,2.5131
2019-01-14,-1.0215
2019-01-15,0.3096
2019-01-16,-2.4691
2019-01-17,-4.8523
2019-01-18,-4.3237
2019-01-22,-3.8239
2019-01-23,3.6145
2019-01-24,-1.7442
2019-01-25,-3.3136
2019-01-28,-0.612
2019-01-29,-4.9261
2019-01-30,-5.1813
2019-01-31,0.8197
2019-02-01,-0.4065
2019-02-04,1.2245
2019-02-05,-1.2097
2019-02-06,-4.2177
2019-02-07,-4.8295
2019-02-08,6.2687
2019-02-11,-2.6685
2019-02-12,-1.443
2019-02-13,1.9034
2019-02-14,0.1437
2019-02-15,5.5954
