ticker,SMTC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,9.3525
2000-01-04,-8.3333
2000-01-05,4.5455
2000-01-06,-3.5469
2000-01-07,4.3891
2000-01-10,6.3636
2000-01-11,-2.7244
2000-01-12,-2.9105
2000-01-13,-0.6787
2000-01-14,21.6401
2000-01-18,-2.9026
2000-01-19,4.918
2000-01-20,-4.136
2000-01-21,-2.0134
2000-01-24,-1.1742
2000-01-25,3.3663
2000-01-26,-0.3831
2000-01-27,1.1538
2000-01-28,-4.8479
2000-01-31,-4.0959
2000-02-01,3.125
2000-02-02,5.8586
2000-02-03,-1.3359
2000-02-04,0.2901
2000-02-07,-2.2179
2000-02-08,4.931
2000-02-09,-0.188
2000-02-10,1.2241
2000-02-11,-1.0233
2000-02-14,-3.7594
2000-02-15,0.7813
2000-02-16,0.7752
2000-02-17,5.2404
2000-02-18,-3.1521
2000-02-22,3.3962
2000-02-23,7.1168
2000-02-24,3.4072
2000-02-25,-14.827
2000-02-28,-0.7737
2000-02-29,-2.5341
2000-03-01,2.2
2000-03-02,3.7182
2000-03-03,0.566
2000-03-06,7.5047
2000-03-07,1.9197
2000-03-08,-6.5925
2000-03-09,0.8249
2000-03-10,-3.9091
2000-03-13,-6.5279
2000-03-14,-2.0243
2000-03-15,-5.5785
2000-03-16,8.0963
2000-03-17,3.6437
2000-03-20,-3.3203
2000-03-21,7.0707
2000-03-22,7.1698
2000-03-23,-1.5845
2000-03-24,0.0
2000-03-27,0.1789
2000-03-28,-6.0714
2000-03-29,-3.9924
2000-03-30,-2.7723
2000-03-31,4.3788
2000-04-03,-6.1463
2000-04-04,0.8316
2000-04-05,5.567
2000-04-06,-2.5391
2000-04-07,7.3898
2000-04-10,-7.2545
2000-04-11,-0.4024
2000-04-12,-10.9091
2000-04-13,2.6077
2000-04-14,-9.7514
2000-04-17,5.7851
2000-04-18,14.0046
2000-04-19,-2.5381
2000-04-20,-0.2083
2000-04-24,-2.8184
2000-04-25,9.4522
2000-04-26,-6.5751
2000-04-27,11.3445
2000-04-28,2.9245
2000-05-01,1.8332000000000002
2000-05-02,-9.991
2000-05-03,-2.8
2000-05-04,0.5144
2000-05-05,-0.5118
2000-05-08,-8.7449
2000-05-09,-6.0879
2000-05-10,-6.8427
2000-05-11,6.701
2000-05-12,2.657
2000-05-15,-2.5882
2000-05-16,7.2464
2000-05-17,2.7027
2000-05-18,-0.9868
2000-05-19,-7.309
2000-05-22,-11.9474
2000-05-23,-2.3066
