ticker,PDRX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-18,0.0
2000-01-19,91.6667
2000-03-13,-30.4348
2000-03-14,50.0
2000-05-10,-66.6667
2000-06-06,200.0
2000-06-15,-4.1667
2000-06-20,-26.2609
2000-06-23,-52.8302
2000-07-25,0.0
2000-09-18,0.0
2000-10-26,100.0
2000-11-15,-25.0
2000-12-04,0.0
2000-12-05,100.0
2001-01-09,-8.3333
2001-01-25,-45.4545
2001-03-13,0.0
2001-03-14,33.3333
2001-04-18,25.0
2001-05-21,0.0
2001-07-03,140.0
2001-12-17,-10.0
2001-12-19,0.0
2002-01-03,-25.1852
2002-01-17,0.0
2002-01-24,22.7723
2002-03-06,0.0
2002-03-18,-35.4839
2002-03-26,-31.25
2002-04-08,54.5455
2002-04-17,-38.8235
2002-05-28,-23.0769
2002-05-29,75.0
2002-05-30,-7.1429
2002-06-05,-30.7692
2002-06-17,22.2222
2002-07-11,0.0
2002-07-18,18.1818
2002-10-07,-46.1538
2002-12-02,14.2857
2002-12-19,0.0
2003-01-02,0.0
2003-01-10,12.5
2003-01-13,13.3333
2003-01-14,-39.2157
2003-01-15,109.6774
2003-01-16,-15.3846
2003-02-28,-18.1818
2003-03-18,0.0
2003-03-21,13.3333
2003-03-24,0.0
2003-03-25,11.7647
2003-04-16,24.5614
2003-05-05,-12.6761
2003-05-14,-17.7419
2003-05-23,31.3725
2003-05-28,-10.4478
2003-05-29,11.6667
2003-06-04,0.0
2003-06-06,0.0
2003-06-17,-10.4478
2003-06-18,16.6667
2003-07-09,-27.1429
2003-07-10,0.0
2003-07-11,0.0
2003-07-15,0.0
2003-07-16,17.647100000000002
2003-07-30,16.6667
2003-08-06,-11.4286
2003-08-07,-16.129
2003-08-11,34.6154
2003-08-19,-21.4286
2003-08-29,21.8182
2003-09-03,34.3284
2003-09-05,-7.2222
2003-09-09,31.7365
2003-09-17,-18.1818
2003-09-22,0.0
2003-09-30,12.2222
2003-10-03,0.0
2003-10-09,-25.7426
2003-10-14,53.3333
2003-10-15,-50.4348
2003-11-21,84.2105
2003-11-26,12.381
2003-11-28,5.0847
2003-12-29,-35.4839
2004-03-03,25.0
2004-03-08,-20.0
2004-04-06,0.0
2004-04-13,0.0
2004-06-16,25.0
2004-06-25,-1.0
2004-06-28,16.1616
2004-07-14,-8.6957
2004-07-28,-5.7143
2004-07-29,-34.3434
2004-08-02,0.0
2004-09-01,56.9231
2004-09-14,-2.9412000000000003
2004-09-15,3.0303
