ticker,FRG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-06-15,-1.6949
2012-06-18,-17.2414
2012-06-19,-0.0833
2012-06-20,0.0
2012-06-21,-16.5972
2012-06-22,40.0
2012-06-25,0.0
2012-06-26,-7.1429
2012-06-27,3.8462
2012-06-29,4.4444
2012-07-02,-0.7092
2012-07-03,-3.5714
2012-07-05,2.963
2012-07-06,-0.3597
2012-07-09,-4.3321
2012-07-10,1.2075
2012-07-11,-1.9388999999999998
2012-07-12,0.7605
2012-07-13,-0.0755
2012-07-16,3.4743
2012-07-17,0.365
2012-07-18,0.0
2012-07-19,1.4545
2012-07-20,-1.4337
2012-07-23,-1.0909
2012-07-24,1.1029
2012-07-25,0.0
2012-07-26,0.0
2012-07-30,-1.8191000000000002
2012-07-31,-7.7028
2012-08-01,-5.297
2012-08-02,-6.1864
2012-08-03,-0.1807
2012-08-06,4.5249
2012-08-07,0.4329
2012-08-08,2.4138
2012-08-09,0.1684
2012-08-10,-1.6806999999999999
2012-08-13,-1.5385
2012-08-14,4.1623
2012-08-15,0.0042
2012-08-16,-4.0
2012-08-17,1.0417
2012-08-20,0.5155
2012-08-21,0.4274
2012-08-22,0.0
2012-08-23,-4.2553
2012-08-24,0.0
2012-08-27,-2.2233
2012-08-28,-1.9989
2012-08-29,-2.5986000000000002
2012-08-30,0.0
2012-08-31,-13.8085
2012-09-04,9.9448
2012-09-05,-3.5176
2012-09-06,0.0
2012-09-07,3.4375
2012-09-10,-5.9428
2012-09-11,7.0464
2012-09-12,-0.2801
2012-09-13,-0.8037
2012-09-14,0.7091
2012-09-17,-0.6024
2012-09-18,-6.2626
2012-09-19,-0.3233
2012-09-20,0.3243
2012-09-21,15.7328
2012-09-24,-0.4655
2012-09-25,3.1805
2012-09-26,5.621
2012-09-27,2.4034
2012-09-28,-1.5926
2012-10-01,0.5111
2012-10-02,-0.678
2012-10-03,4.9488
2012-10-04,11.0976
2012-10-05,6.2569
2012-10-08,3.9945
2012-10-09,-1.457
2012-10-10,2.1505
2012-10-11,-0.3289
2012-10-12,1.5842
2012-10-15,0.0
2012-10-16,-0.6498
2012-10-17,-0.9156
2012-10-18,0.264
2012-10-19,-0.1975
2012-10-22,-0.066
2012-10-23,-2.3102
2012-10-24,1.2838
2012-10-25,-1.2675
2012-10-26,0.0676
2012-10-31,0.6077
2012-11-01,-0.3356
2012-11-02,0.6734
2012-11-05,0.0669
2012-11-06,-0.1337
2012-11-07,0.0
2012-11-08,-0.6693
