ticker,ADIL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-07-27,-19.0
2018-07-30,-1.0889
2018-07-31,-0.1473
2018-08-01,6.25
2018-08-02,-5.9576
2018-08-03,0.0801
2018-08-06,-0.5
2018-08-07,-1.8843999999999999
2018-08-08,-2.6889
2018-08-09,-13.1579
2018-08-10,3.9394
2018-08-13,-0.2915
2018-08-14,12.5731
2018-08-15,-2.5974
2018-08-16,0.0
2018-08-17,2.4
2018-08-20,-8.4635
2018-08-21,5.4993
2018-08-22,-2.9205
2018-08-23,-1.6667
2018-08-24,-8.1921
2018-08-27,-7.0769
2018-08-28,2.6358
2018-08-29,-2.2455
2018-08-30,3.9604
2018-08-31,-2.0921
2018-09-04,1.4883
2018-09-05,-7.3482
2018-09-06,0.0
2018-09-07,0.0
2018-09-10,-3.4483
2018-09-11,1.7856999999999998
2018-09-12,1.4035
2018-09-13,1.7301
2018-09-14,-6.4626
2018-09-17,6.1818
2018-09-18,9.589
2018-09-19,-9.375
2018-09-20,1.3793
2018-09-21,-1.3605
2018-09-24,0.3448
2018-09-25,-2.0619
2018-09-26,-3.5088
2018-09-27,4.3636
2018-09-28,-5.0523
2018-10-01,-0.1835
2018-10-02,-2.9118
2018-10-03,2.2417
2018-10-04,1.9296
2018-10-05,-0.0763
2018-10-08,-1.0909
2018-10-09,8.8235
2018-10-10,-12.1622
2018-10-11,1.5385
2018-10-12,-1.1364
2018-10-15,-1.9157
2018-10-16,0.0
2018-10-17,0.3945
2018-10-18,-14.7893
2018-10-19,20.0913
2018-10-22,-8.365
2018-10-23,7.8838
2018-10-24,-18.8462
2018-10-25,-5.2133
2018-10-26,-2.5
2018-10-29,-3.5897
2018-10-30,1.0638
2018-10-31,-0.2947
2018-11-01,0.8235
2018-11-02,4.712
2018-11-05,-3.5
2018-11-06,-11.9171
2018-11-07,-17.647100000000002
2018-11-08,0.0071
2018-11-09,12.1348
2018-11-12,-10.1911
2018-11-13,-9.9291
2018-11-14,-4.7244
2018-11-15,14.3636
2018-11-16,4.0613
2018-11-19,-4.1667
2018-11-20,-2.1739
2018-11-21,12.592600000000001
2018-11-23,-12.5
2018-11-26,24.812
2018-11-27,-18.6747
2018-11-28,-2.2222
2018-11-29,112.1212
2018-11-30,37.1429
2018-12-03,-26.3021
2018-12-04,-1.0601
2018-12-06,7.1429
2018-12-07,-20.6667
2018-12-10,-10.5042
2018-12-11,-7.9812
2018-12-12,3.5714
2018-12-13,104.9261
2018-12-14,-8.6538
