ticker,PXS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-11-04,-32.6173
2015-11-05,11.9274
2015-11-06,-1.1295
2015-11-09,-7.7276
2015-11-10,-3.1086
2015-11-11,11.1065
2015-11-12,-15.9965
2015-11-13,10.7143
2015-11-16,-10.3943
2015-11-17,-5.4
2015-11-18,11.2051
2015-11-19,-12.5475
2015-11-20,4.375
2015-11-23,-4.1916
2015-11-24,-3.0489
2015-11-25,-3.6269
2015-11-27,-2.2801
2015-11-30,-2.375
2015-12-02,-2.445
2015-12-04,-10.0
2015-12-07,-5.5556
2015-12-08,0.5882
2015-12-09,-0.5848
2015-12-10,29.4118
2015-12-11,30.9091
2015-12-14,-30.2083
2015-12-15,-0.4975
2015-12-16,-13.1844
2015-12-17,-0.3636
2015-12-18,1.1561
2015-12-21,-8.0
2015-12-22,6.2112
2015-12-23,0.5848
2015-12-28,10.4651
2015-12-29,-10.526299999999999
2015-12-30,-5.9926
2015-12-31,-21.1576
2016-01-04,-0.7937
2016-01-05,-4.8100000000000005
2016-01-06,6.7339
2016-01-07,3.9370000000000003
2016-01-08,-34.0909
2016-01-11,0.0
2016-01-12,-21.8391
2016-01-13,10.2941
2016-01-14,0.2667
2016-01-15,31.6489
2016-01-19,-15.9596
2016-01-20,-8.6538
2016-01-21,-14.473700000000001
2016-01-22,11.4423
2016-01-25,2.157
2016-01-26,-0.7432
2016-01-27,4.9949
2016-01-28,-9.2309
2016-01-29,17.1429
2016-02-01,7.3171
2016-02-02,-20.1136
2016-02-08,25.1778
2016-02-09,2.2727
2016-02-10,-2.3333
2016-02-11,8.0774
2016-02-16,-17.8947
2016-02-17,21.7949
2016-02-18,4.2105
2016-02-19,-20.202
2016-02-22,24.0506
2016-02-23,0.0
2016-02-25,5.0893
2016-02-26,9.7221
2016-02-29,2.6438
2016-03-01,2.5973
2016-03-02,0.0
2016-03-03,-0.8508
2016-03-04,-1.7692999999999999
2016-03-07,7.8516
2016-03-08,1.5899999999999999
2016-03-09,4.213
2016-03-10,27.7038
2016-03-11,0.0
2016-03-14,12.426
2016-03-15,-10.5329
2016-03-16,5.2614
2016-03-17,0.0384
2016-03-18,-1.8994
2016-03-21,-0.3417
2016-03-22,4.6357
2016-03-23,1.0308
2016-03-24,2.6959
2016-03-28,5.1319
2016-03-29,-0.8605
2016-03-30,2.5092
2016-03-31,0.0062
2016-04-01,8.3744
2016-04-04,3.1761
2016-04-05,-0.4295
2016-04-06,3.5341
2016-04-07,-0.8547
