ticker,PBH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-02-10,10.9375
2005-02-11,0.9577
2005-02-14,-0.1116
2005-02-15,-1.0056
2005-02-16,-0.7901
2005-02-17,2.3891
2005-02-18,3.6111
2005-02-22,-2.9491
2005-02-23,-0.5525
2005-02-24,0.3889
2005-02-25,0.4427
2005-02-28,-0.8264
2005-03-01,-1.1111
2005-03-02,0.1124
2005-03-03,-0.3928
2005-03-04,1.4085
2005-03-07,-0.2222
2005-03-08,0.2227
2005-03-09,-1.5556
2005-03-10,-0.6772
2005-03-11,5.1136
2005-03-14,-1.3514
2005-03-15,-3.3973
2005-03-16,-1.9853
2005-03-17,1.794
2005-03-18,3.4679
2005-03-21,-1.0989
2005-03-22,-2.7778
2005-03-23,2.1143
2005-03-24,0.6715
2005-03-28,-0.5003
2005-03-29,0.5587
2005-03-30,0.0
2005-03-31,-1.9444
2005-04-01,-0.9065
2005-04-04,-3.1447
2005-04-05,0.3542
2005-04-06,0.2353
2005-04-07,-0.2347
2005-04-08,-1.4706000000000001
2005-04-11,2.5075
2005-04-12,0.6407
2005-04-13,0.4051
2005-04-14,1.7867
2005-04-15,1.0759
2005-04-18,0.9524
2005-04-19,-0.3885
2005-04-20,-0.2786
2005-04-21,1.1173
2005-04-22,-4.0331
2005-04-25,0.8636
2005-04-26,-1.1985999999999999
2005-04-27,-0.9243
2005-04-28,0.8746
2005-04-29,4.0462
2005-05-02,-1.1111
2005-05-03,-0.2247
2005-05-04,-1.2387
2005-05-05,2.3375
2005-05-06,-0.5571
2005-05-09,0.7283
2005-05-10,-0.4449
2005-05-11,-1.6760000000000002
2005-05-12,-1.7045
2005-05-13,0.0578
2005-05-16,0.2889
2005-05-17,-0.9217
2005-05-18,-0.4651
2005-05-19,-0.5257
2005-05-20,-0.6459
2005-05-23,-0.4728
2005-05-24,-2.1971
2005-05-25,0.1214
2005-05-26,0.0606
2005-05-27,2.4242
2005-05-31,0.5917
2005-06-01,3.1176
2005-06-02,0.1141
2005-06-03,-0.2849
2005-06-06,0.6286
2005-06-07,-2.7824999999999998
2005-06-08,-1.285
2005-06-09,0.8876
2005-06-10,0.176
2005-06-13,0.7026
2005-06-14,3.7791
2005-06-15,1.2885
2005-06-16,-0.719
2005-06-17,-1.3928
2005-06-20,2.7683999999999997
2005-06-21,0.4948
2005-06-22,0.547
2005-06-23,0.3808
2005-06-24,1.626
2005-06-27,-1.7067
2005-06-28,3.0928
2005-06-29,2.6316
2005-06-30,0.0
