ticker,ZHDM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-09-10,59.0909
2008-09-12,0.0
2008-09-15,42.8571
2008-09-22,0.0
2008-09-24,32.0
2008-10-03,53.0303
2008-10-08,48.5149
2008-10-13,0.0
2008-10-14,0.0
2008-10-15,-32.6667
2008-10-16,0.0
2008-10-22,23.7624
2008-10-29,4.0
2008-10-31,34.6154
2008-11-03,0.0
2008-11-05,51.4286
2008-11-20,-61.8868
2008-11-26,83.1683
2009-02-02,62.1622
2009-02-03,-16.6667
2009-02-04,-56.0
2009-02-05,81.8182
2009-02-06,22.5
2009-03-09,-57.1429
2009-03-12,90.4762
2009-04-01,50.0
2009-04-16,-83.0
2009-04-17,27.451
2009-04-21,-52.3077
2009-04-27,-19.3548
2009-04-29,180.0
2009-05-26,44.2857
2009-05-29,-35.6436
2009-06-26,-15.3846
2009-06-30,0.0
2009-09-10,-96.3636
2009-09-11,50.0
2009-09-14,0.0
2009-09-21,0.0
2009-10-30,1233.3333
2009-11-11,-87.5
2010-04-20,400.0
2010-04-23,104.0
2010-04-27,-41.1765
2010-05-03,30.0
2010-05-07,-10.2564
2010-05-20,0.0
2010-05-27,-14.2857
2010-06-16,-50.0
2010-06-18,0.0
2010-08-18,0.0
2010-08-19,66.6667
2010-08-20,0.0
2010-08-26,-4.0
2010-11-23,-16.6667
2011-02-08,27.5
2011-02-18,-21.5686
2011-03-30,-37.5
2011-06-03,-20.0
2011-07-28,-50.0
2011-07-29,50.0
2011-08-01,-33.3333
2011-11-16,-50.0
2011-12-01,-50.0
2012-03-20,-20.0
2012-03-28,350.0
2012-04-18,-11.1111
2012-05-22,-81.25
2014-03-24,-66.6667
2014-03-26,300.0
2014-03-27,0.0
2014-03-28,-25.0
2014-03-31,0.0
2014-04-09,-20.0
2014-04-15,-58.3333
2014-04-16,-60.0
2014-04-17,150.0
2014-04-21,20.0
2014-04-22,-41.6667
2014-05-16,0.0
2014-06-10,0.0
2014-06-13,0.0
2014-08-27,0.0
2014-09-11,-42.8571
2014-09-12,50.0
2014-10-01,-33.3333
2014-10-03,-34.375
2014-10-31,52.381
2014-11-25,-25.0
2015-03-24,0.0
2015-05-18,20.8333
2015-05-19,10.3448
2015-05-20,0.0
2015-08-19,50.0
2015-08-20,0.0
2015-08-21,-33.3333
2015-08-28,0.0
2015-09-02,0.0
2015-09-10,-25.0
2016-02-09,0.0
2016-02-12,-12.5
2016-02-25,0.0
2016-03-04,-47.619
2016-03-10,-9.0909
2016-04-07,220.0
