ticker,PPSI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-04-24,0.0
2010-01-08,15900.0
2010-01-11,0.0
2010-01-15,-6.25
2010-01-21,0.0
2010-01-25,0.0
2010-02-05,0.0
2010-02-10,3.3333
2010-02-11,-3.2258
2010-02-17,0.0
2010-02-22,6.6667
2010-03-01,3.125
2010-03-03,21.2121
2010-03-04,20.0
2010-03-05,25.0
2010-03-08,1.6667
2010-03-09,0.0
2010-03-10,-1.6393
2010-03-11,0.0
2010-03-12,0.0
2010-03-18,-1.6667
2010-03-22,0.0
2010-03-23,0.0
2010-03-24,-5.0847
2010-03-31,0.0
2010-04-05,0.0
2010-04-12,0.0
2010-04-16,0.0
2010-04-20,7.1429
2010-04-21,0.0
2010-04-23,1.3333
2010-04-27,0.0
2010-04-28,-1.3158
2010-05-03,0.0
2010-05-04,1.3333
2010-05-05,-1.3158
2010-05-10,1.6667
2010-05-12,0.3279
2010-05-17,0.6536
2010-05-20,-2.5974
2010-05-25,0.0
2010-06-02,0.3333
2010-06-03,2.6578
2010-06-08,-2.9126
2010-06-11,1.6667
2010-06-14,0.0
2010-06-16,-8.1967
2010-06-18,7.1429
2010-06-21,-8.3333
2010-06-24,0.0
2010-06-28,-3.6364
2010-07-01,-5.6604
2010-07-12,20.0
2010-07-22,-33.3333
2010-07-23,25.0
2010-07-29,0.0
2010-08-06,22.0
2010-08-10,-0.3279
2010-08-25,-1.3158
2010-09-16,0.0
2010-09-20,-33.3333
2010-09-23,50.0
2010-09-28,0.0
2010-10-05,-1.6667
2010-10-08,1.6949
2010-10-26,-8.3333
2010-11-03,0.0
2010-11-12,7.2727
2010-12-03,-10.1695
2010-12-13,0.0
2010-12-14,5.6604
2010-12-22,5.3571
2011-01-11,-32.2034
2011-01-24,25.0
2011-02-11,-4.0
2011-03-25,6.25
2011-03-29,7.8431
2011-03-30,11.2727
2011-04-11,-6.8627
2011-04-19,3.5088
2011-05-06,1.6949
2011-05-09,0.0
2011-05-23,0.0
2011-06-17,0.0
2011-06-20,0.0
2011-09-29,-46.6675
2011-10-04,87.5029
2011-10-05,-66.6667
2011-10-06,0.0
2011-10-12,54.0
2011-11-01,-44.8052
2011-11-04,82.3529
2011-12-07,-35.4839
2011-12-08,-20.0
2011-12-16,0.0
2011-12-27,100.0
2012-01-12,-43.625
2012-02-07,-8.8692
2012-03-28,-14.8418
2012-05-15,28.5714
2012-06-11,11.1111
2012-08-29,0.0
2012-09-25,11.0
2012-12-10,3.6036
