ticker,GPOX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-10-16,118.75
2017-10-17,-54.2857
2017-10-31,6.25
2017-11-03,47.0588
2017-11-15,12.0
2017-11-21,-10.7143
2017-11-22,44.0
2017-11-27,11.1111
2017-11-28,12.5
2018-01-18,-11.1111
2018-02-22,-50.0
2018-04-02,200.0
2018-04-03,-33.3333
2018-04-16,100.0
2018-04-26,-25.0
2018-05-01,0.0
2018-05-11,33.3333
2018-05-22,-87.5
2018-06-12,100.0
2018-08-27,30.0
2018-09-21,-38.4615
2018-09-27,25.0
2018-09-28,20.0
2018-10-04,-33.3333
2018-10-25,363.0
2018-10-26,7.9914
2018-10-30,0.0
2018-11-13,-25.0
2018-11-19,66.6667
2018-11-26,-32.0
2018-12-17,-11.7647
2018-12-21,-60.0
2019-01-02,66.6667
2019-01-14,0.0
2019-04-17,10.0
2019-07-26,0.0
2019-08-26,0.0
2019-09-17,-9.0909
2019-12-16,-50.0
2019-12-24,-29.8
2020-01-17,13.9601
2020-01-23,25.0
2020-01-27,100.0
2020-02-05,10.0
2020-02-12,-63.6364
2020-04-07,157.5
2020-04-14,-2.9126
2020-04-16,-60.0
2020-05-06,155.0
2020-05-07,-1.9607999999999999
2020-05-08,20.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-21,-3.3333
2020-05-22,-18.9655
2020-06-01,28.1915
2020-06-02,-12.8631
2020-06-03,-33.3333
2020-06-04,71.4286
2020-06-05,0.0
2020-06-08,-16.6667
2020-06-09,20.0
2020-06-10,70.0
2020-06-11,43.8725
2020-06-12,5.6218
2020-06-15,0.9677
2020-06-16,-20.7668
2020-06-17,12.9032
2020-06-18,-2.5
2020-06-19,-1.8315000000000001
2020-06-22,0.7463
2020-06-23,3.7037
2020-06-26,-28.5714
2020-06-29,-34.95
2020-06-30,76.7871
2020-07-01,16.5217
2020-07-02,-47.7612
2020-07-08,14.2857
2020-07-09,6.1875
2020-07-10,35.3737
2020-07-13,-0.8696
2020-07-20,-34.2105
2020-07-21,-20.0
2020-07-22,-33.3333
2020-07-23,85.0
2020-07-27,0.0
2020-07-28,-32.4324
2020-07-30,-20.0
2020-07-31,-11.25
