ticker,BNSO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,3.3457
2000-01-04,-2.1583
2000-01-05,-1.8382
2000-01-06,-0.3745
2000-01-07,-3.7594
2000-01-10,2.3438
2000-01-11,-1.5267
2000-01-12,0.7752
2000-01-13,0.0
2000-01-14,-1.5385
2000-01-18,0.7813
2000-01-19,-0.7752
2000-01-20,-1.5625
2000-01-21,-1.5873
2000-01-24,0.0
2000-01-25,-1.6129
2000-01-26,-1.6393
2000-01-27,1.6667
2000-01-28,0.8197
2000-01-31,-2.0325
2000-02-01,59.3361
2000-02-02,16.6667
2000-02-03,-19.1964
2000-02-04,9.3923
2000-02-07,14.6465
2000-02-08,3.9648
2000-02-09,25.4237
2000-02-10,-3.3784
2000-02-11,-5.5944
2000-02-14,16.6667
2000-02-15,0.9524
2000-02-16,-6.9182
2000-02-17,-6.7568
2000-02-18,-4.3478
2000-02-22,3.7879
2000-02-23,-5.1095
2000-02-24,0.3846
2000-02-25,-8.046
2000-02-28,6.6667
2000-02-29,3.9063
2000-03-01,-10.526299999999999
2000-03-02,2.9412000000000003
2000-03-03,1.2245
2000-03-06,-0.8065
2000-03-07,-1.2195
2000-03-08,13.5802
2000-03-09,-12.3188
2000-03-10,0.0
2000-03-13,-11.157
2000-03-14,11.6279
2000-03-15,0.4167
2000-03-16,-7.0539
2000-03-17,8.9286
2000-03-20,-3.2787
2000-03-21,1.6949
2000-03-22,6.6667
2000-03-23,-3.125
2000-03-24,-3.2258
2000-03-27,-4.1667
2000-03-28,11.3043
2000-03-29,-2.3438
2000-03-30,-5.6
2000-03-31,1.6949
2000-04-03,-4.1667
2000-04-04,-3.0435
2000-04-05,-4.9327
2000-04-06,12.2642
2000-04-07,-3.3613
2000-04-10,-0.8696
2000-04-11,-3.9474
2000-04-12,-8.6758
2000-04-13,-3.0
2000-04-14,6.701
2000-04-17,-6.2802
2000-04-18,18.5567
2000-04-19,5.6522
2000-04-20,8.2305
2000-04-24,-1.1407
2000-04-25,-2.3077
2000-04-26,0.3937
2000-04-27,0.3922
2000-04-28,0.0
2000-05-01,-6.25
2000-05-02,-10.8333
2000-05-03,7.4766
2000-05-04,4.3478
2000-05-05,-5.0
2000-05-08,5.2632
2000-05-09,-2.9167
2000-05-10,-0.4292
2000-05-11,-3.4483
2000-05-12,-4.4643
2000-05-15,8.411200000000001
2000-05-16,-6.0345
2000-05-17,-0.9174
2000-05-18,-0.9259
2000-05-19,3.7382999999999997
2000-05-22,0.9009
