ticker,AMRR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-10-19,0.0
2011-12-07,0.0
2014-05-15,300.0
2014-05-19,-25.0
2014-05-21,-16.6667
2014-09-25,-59.2
2014-09-29,17.647100000000002
2014-10-02,58.3333
2014-10-06,-46.3158
2015-01-02,0.0
2015-01-05,0.0
2015-02-18,0.0
2015-03-25,-41.1765
2015-04-09,0.0
2015-04-17,-33.3333
2015-04-22,-25.0
2015-05-05,-20.0
2015-05-07,-16.6667
2015-05-18,-15.0
2015-06-04,88.2353
2015-06-12,-53.125
2015-07-09,61.3333
2015-07-27,-0.8264
2015-08-05,18.3333
2015-08-13,-29.5775
2015-08-19,-20.0
2015-09-23,6.25
2015-09-24,-5.8824
2015-11-30,25.0
2015-12-02,-45.0
2016-01-25,118.1818
2016-02-03,-54.1667
2016-02-04,0.0
2016-02-24,-63.6364
2016-02-25,-70.0
2016-03-17,41.6667
2016-03-24,723.5294
2016-03-28,-27.8571
2016-03-29,18.8119
2016-03-30,-12.5
2016-03-31,-4.7619
2016-04-07,0.0
2016-04-08,40.0
2016-04-25,0.0
2016-05-13,-4.2857
2016-05-16,49.2537
2016-05-17,20.0
2016-05-19,8.3333
2016-05-20,-15.3846
2016-05-24,15.7955
2016-05-25,-21.4917
2016-05-26,0.0
2016-06-01,10.0
2016-06-03,0.0
2016-06-08,0.0
2016-07-06,9.0909
2016-07-08,0.0
2016-07-13,0.0
2016-07-20,-21.0417
2016-07-21,26.6491
2016-07-26,-31.6667
2016-07-29,-2.439
2016-09-30,15.0
2016-10-26,-78.2609
2016-10-28,25.0
2016-11-01,0.0
2016-11-03,0.0
2016-11-09,0.0
2016-11-21,0.0
2017-03-02,0.0
2017-03-14,0.0
2017-03-28,-20.0
2017-04-12,-6.5625
2017-04-18,96.99
2017-07-14,-72.8353
2017-08-01,340.0
2017-09-25,127.2727
2017-10-04,-90.0
2017-11-14,150.0
2017-12-14,0.0
2018-02-12,140.0
2018-03-08,-16.6667
2018-03-16,-10.0
2018-03-19,0.0
2018-04-04,-43.3333
2018-04-12,0.0
2018-04-24,72.549
2018-05-25,-42.0455
2018-07-23,-1.9607999999999999
2018-08-07,0.0
2018-09-05,0.0
2018-09-19,0.0
2018-10-01,40.0
2018-10-11,-28.5714
2018-10-15,40.0
2018-10-18,42.8571
2018-11-08,40.0
2018-11-09,14.2857
2018-12-12,-25.0
2018-12-18,0.0
2018-12-21,0.0
2019-01-15,0.0
2019-03-18,33.3333
2019-03-26,-25.0
2019-03-28,1.6667
2019-06-17,-1.6393
2019-06-25,-16.6667
2019-06-28,0.0
2019-07-08,0.0
2019-08-05,30.0
2019-08-16,-23.0769
2019-09-11,0.0
2019-09-20,0.0
2019-10-04,0.0
2019-10-21,10.0
2019-10-28,54.5455
2019-10-29,9.8824
2019-10-30,28.4797
2019-11-01,50.0
2019-11-05,38.8889
2019-11-06,-40.0
2019-11-07,0.0
2019-11-08,-10.0
2019-11-11,0.0
2019-11-12,0.0741
2019-11-18,-0.074
2019-11-22,5.5556
2019-11-27,-29.8246
2019-12-06,20.0
2019-12-11,-20.8333
2019-12-16,26.2105
2019-12-20,54.2952
2019-12-23,-29.7297
2019-12-26,19.2308
2019-12-27,-15.4839
2019-12-31,-16.0305
2020-01-03,63.6364
2020-01-07,-38.7778
2020-01-08,0.0907
2020-01-10,63.1913
2020-01-13,11.1111
2020-01-14,-7.5
2020-01-15,-16.2162
2020-01-16,-3.2258
2020-01-17,-15.3333
2020-01-28,112.5984
2020-01-29,-11.8519
2020-01-30,5.042
2020-01-31,8.0
2020-02-03,0.0
2020-02-04,13.8519
2020-02-06,-5.0098
2020-02-07,-11.6781
2020-02-11,55.0989
2020-02-12,-30.0
2020-02-13,42.8571
2020-02-14,-30.0
2020-02-24,10.7143
2020-02-26,-8.0645
2020-03-10,53.6842
2020-03-13,-4.1096
2020-03-16,20.4762
2020-03-17,-0.7905
2020-03-25,-0.7968
2020-03-27,0.0
2020-03-30,-0.4016
2020-04-01,-8.2661
2020-04-07,-0.4396
2020-04-08,-35.9823
2020-04-09,44.8276
2020-04-16,-28.5714
2020-04-23,0.0
2020-04-29,50.0
2020-06-08,13.3333
2020-06-09,47.0588
2020-06-10,-60.0
2020-06-11,70.0
2020-06-15,13.7255
2020-07-13,-27.5862
2020-07-14,0.0
