ticker,NH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-06-02,32.7857
2016-06-03,-0.269
2016-06-06,-11.4887
2016-06-07,-4.6923
2016-06-08,1.023
2016-06-09,-1.8987
2016-06-10,-8.0645
2016-06-13,-1.7544
2016-06-14,0.0714
2016-06-15,0.2855
2016-06-16,-0.2847
2016-06-17,0.6424
2016-06-20,-0.4255
2016-06-21,-0.1425
2016-06-22,0.4993
2016-06-23,-0.4258
2016-06-24,-9.4084
2016-06-27,1.8883
2016-06-28,2.0849
2016-06-29,-4.5386
2016-06-30,-0.9509
2016-07-01,2.96
2016-07-05,4.9728
2016-07-06,1.7024
2016-07-07,1.8195000000000001
2016-07-08,-2.2873
2016-07-11,-5.5596
2016-07-12,-1.4717
2016-07-13,0.7862
2016-07-14,-1.4041000000000001
2016-07-15,-1.4241
2016-07-18,0.7223
2016-07-19,-8.8446
2016-07-20,-2.535
2016-07-21,0.0
2016-07-22,1.0762
2016-07-25,-5.5013
2016-07-26,0.5634
2016-07-27,-2.7077
2016-07-28,-2.975
2016-07-29,-0.0989
2016-08-01,-1.1881
2016-08-02,0.1002
2016-08-03,-0.1001
2016-08-04,0.7014
2016-08-05,0.2985
2016-08-08,-1.1905000000000001
2016-08-09,0.1004
2016-08-10,4.3129
2016-08-11,1.9231
2016-08-12,8.4906
2016-08-15,3.1304
2016-08-16,-1.0961
2016-08-17,6.0529
2016-08-18,2.09
2016-08-19,0.7087
2016-08-22,-3.6747
2016-08-23,3.5714
2016-08-24,-5.094
2016-08-25,1.2386
2016-08-26,1.0604
2016-08-29,1.7755999999999998
2016-08-30,4.8374
2016-08-31,-0.8321
2016-09-01,-4.9199
2016-09-02,0.4412
2016-09-06,-0.3994
2016-09-07,2.7265
2016-09-08,3.4348
2016-09-09,-0.5283
2016-09-12,0.1897
2016-09-13,-1.5524
2016-09-14,1.5385
2016-09-15,16.2879
2016-09-16,-5.5375
2016-09-19,-6.069
2016-09-20,-3.0103
2016-09-21,2.271
2016-09-22,1.8505
2016-09-23,-2.5436
2016-09-26,-4.176
2016-09-27,-0.5447
2016-09-28,7.3552
2016-09-29,-2.1866
2016-09-30,-2.0119
2016-10-03,0.5323
2016-10-04,-1.2103
2016-10-05,0.2297
2016-10-06,-0.1528
2016-10-07,2.6014
2016-10-10,-0.5966
2016-10-11,2.5506
2016-10-12,-3.2919
2016-10-13,-2.8744
2016-10-14,-0.3894
2016-10-17,0.4691
2016-10-18,6.537
2016-10-19,-0.5113
