ticker,KYNC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-05-25,-13.3333
2006-05-26,30.7692
2006-05-30,0.0
2006-06-01,0.0
2006-06-05,0.0
2006-06-06,-5.2941
2006-06-13,-0.6211
2006-06-16,12.5
2006-06-19,0.0
2006-08-25,-16.6667
2006-09-15,-26.6667
2006-12-19,0.0
2007-01-18,9.0909
2007-01-19,8.3333
2007-01-25,115.3846
2007-01-26,42.8571
2007-02-01,50.0
2007-02-20,0.0
2007-03-05,200.0
2007-04-16,-75.3333
2007-04-24,237.8378
2007-04-25,0.0
2007-05-04,0.0
2007-05-07,0.0
2007-05-08,13.3333
2007-05-09,14.7059
2007-05-10,2.5641
2007-05-15,35.0
2007-05-16,-24.0741
2007-05-24,-17.0732
2007-06-04,-5.8824
2007-06-14,-6.25
2007-06-21,0.0
2007-06-28,0.0
2007-07-11,0.0
2008-03-03,-60.0
2008-09-25,-91.6667
2008-12-31,-80.0
2009-03-05,0.0
2009-03-06,0.0
2009-03-09,0.0
2009-03-27,0.0
2009-10-19,1900.0
2009-10-22,-94.0
2010-02-22,233.3333
2010-03-04,-25.0
2010-07-12,-93.3333
2010-09-08,5400.0
2010-10-26,-45.4545
2010-10-28,56.6667
2010-11-02,-4.2553
2010-11-09,-0.2222
2010-11-10,4.6771
2011-02-25,-87.234
2011-05-10,16.6667
2011-08-25,-57.1429
2011-08-31,16.6667
2011-09-02,0.0
2011-09-06,0.0
2011-09-27,2.8571
2011-12-07,-16.6667
2011-12-23,-33.3333
2011-12-30,-85.0
2012-02-10,0.0
2013-12-19,66.6667
2014-09-11,4900.0
2014-09-19,-98.0
2014-09-25,0.0
2015-03-24,4900.0
2017-01-18,-99.95
2018-04-30,25.0
2018-05-01,-40.0
2018-05-11,-36.6667
2018-06-06,94.7368
2018-06-07,-72.973
2018-06-08,2.0
2018-06-15,17.647100000000002
2018-06-18,0.0
2018-08-08,-58.3333
2018-08-16,100.0
2018-08-21,20.0
2018-08-24,-33.3333
2018-08-28,0.0
2018-08-29,0.0
2018-09-05,0.0
2018-10-02,-6.25
2018-10-03,20.0
2018-10-04,0.0
2018-10-05,11.1111
2018-10-08,112.0
2018-10-09,-29.2453
2018-10-10,-8.0
2018-10-11,30.4348
2018-10-12,-33.3333
2018-10-15,-33.3333
2018-10-16,32.5
2018-10-17,-14.9057
2018-10-18,-22.3947
2018-10-19,-29.0571
2018-10-22,-39.5892
2018-10-23,-32.6667
2018-10-24,25.7426
2018-10-25,-33.0709
