ticker,CBBB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-01-07,23.6364
2011-01-11,0.0
2011-01-20,-8.0882
2011-01-21,0.0
2011-03-04,60.0
2011-03-07,0.0
2011-03-08,0.0
2011-03-09,0.0
2011-03-11,0.0
2011-03-14,0.0
2011-03-24,0.0
2011-04-28,300.0
2011-04-29,-50.0
2011-05-03,-50.0
2011-05-24,-50.0
2011-05-25,72.0
2011-08-02,-27.3256
2011-08-04,20.8
2011-08-19,0.0
2011-12-08,-33.1126
2012-03-08,-65.3465
2012-03-14,-71.4286
2012-03-15,410.0
2012-05-16,-70.5882
2012-05-22,-20.0
2012-05-23,-16.6667
2012-06-04,0.0
2012-06-19,0.0
2012-08-14,-30.0
2013-04-12,142.8571
2013-06-10,-64.7059
2013-10-30,200.0
2013-11-20,0.0
2013-12-20,177.7778
2013-12-23,78.0
2014-01-24,40.4494
2014-01-27,60.0
2014-01-31,-30.5
2014-02-04,7.9137
2014-02-05,33.3333
2014-02-07,-10.0
2014-02-10,80.5556
2014-02-11,15.3846
2014-02-12,1.0667
2014-02-13,58.3113
2014-02-14,25.0
2014-02-18,-13.3333
2014-02-19,0.0
2014-02-20,38.3077
2014-02-21,-4.8943
2014-02-24,5.2632
2014-02-26,-25.0
2014-02-27,-18.5185
2014-02-28,-3.6364
2014-03-03,1.8868
2014-03-05,-4.6296
2014-03-06,-8.7379
2014-03-07,-2.1277
2014-03-10,0.0
2014-03-11,-8.6957
2014-03-12,0.0
2014-03-17,-9.5238
2014-03-18,-14.473700000000001
2014-03-20,23.0769
2014-03-25,-12.5
2014-04-01,-11.4286
2014-04-02,-27.4194
2014-04-04,-3.5556
2014-04-07,-19.3548
2014-04-08,-23.4286
2014-04-11,0.0
2014-04-14,49.2537
2014-04-22,49.5
2014-04-23,67.2241
2014-04-24,0.0
2014-04-25,9.8
2014-04-30,-27.1403
2014-05-01,-25.0
2014-05-02,60.0
2014-05-05,-73.9583
2014-05-06,11.2
2014-05-07,7.9137
2014-05-08,0.0
2014-05-09,-17.3333
2014-05-12,0.0
2014-05-13,0.0
2014-05-14,-3.2258
2014-05-15,20.8333
2014-05-16,-4.8276
2014-05-19,14.4928
2014-05-21,-10.1266
2014-05-22,-3.5211
2014-05-28,-12.4088
2014-05-29,0.0
2014-06-04,30.0
2014-06-09,-28.8462
2014-06-11,0.0
2014-06-13,-5.4054
2014-06-16,0.9524
2014-06-17,6.6038
2014-06-18,1.7699
2014-06-19,0.0
2014-06-20,0.0
