ticker,CNNC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-15,61.2903
2010-03-16,-5.0
2010-03-17,5.2632
2010-03-18,-0.975
2010-03-19,3.0043
2010-03-22,3.9215999999999998
2010-03-23,-1.0024
2010-03-24,10.542
2010-03-25,6.8966
2010-03-26,33.871
2010-03-29,-1.8072
2010-03-30,-3.0675
2010-03-31,20.2532
2010-04-01,2.1053
2010-04-05,-3.0928
2010-04-06,4.2553
2010-04-07,4.0816
2010-04-08,11.7647
2010-04-09,7.0175
2010-04-12,1.6393
2010-04-13,-7.2581
2010-04-14,0.8696
2010-04-15,1.7241
2010-04-16,0.0
2010-04-19,-0.8475
2010-04-20,0.0
2010-04-21,2.5641
2010-04-22,-1.6667
2010-04-23,0.8475
2010-04-26,0.0
2010-04-27,0.0
2010-04-28,7.563
2010-04-29,-3.125
2010-04-30,-3.2258
2010-05-03,0.0
2010-05-04,0.8333
2010-05-05,-0.8264
2010-05-06,-7.5
2010-05-07,-6.3063
2010-05-10,7.6923
2010-05-11,6.25
2010-05-12,-4.2017
2010-05-13,-5.7018
2010-05-14,6.9767
2010-05-17,-4.3478
2010-05-18,-4.5455
2010-05-19,0.0
2010-05-20,-2.8571
2010-05-21,-1.9607999999999999
2010-05-24,4.0
2010-05-25,-4.8077
2010-05-26,3.0303
2010-05-27,4.902
2010-05-28,10.2804
2010-06-01,9.322
2010-06-02,-1.5504
2010-06-03,-7.874
2010-06-04,9.4017
2010-06-07,-3.9063
2010-06-08,0.0
2010-06-09,-1.626
2010-06-10,-3.719
2010-06-11,-3.0043
2010-06-14,-7.0796
2010-06-15,-0.9524
2010-06-16,0.0
2010-06-17,2.8846
2010-06-18,1.8692
2010-06-21,-2.7523
2010-06-22,-3.4611
2010-06-23,2.608
2010-06-24,2.8571
2010-06-25,-2.7778
2010-06-28,11.4286
2010-06-29,3.4188
2010-06-30,-1.6529
2010-07-01,4.2017
2010-07-02,-5.6452
2010-07-06,-4.7009
2010-07-07,-4.9215
2010-07-08,6.5912
2010-07-09,-1.7699
2010-07-12,-3.6036
2010-07-13,2.3364
2010-07-14,-1.3699
2010-07-15,-0.9259
2010-07-16,-3.271
2010-07-19,-2.4154999999999998
2010-07-20,2.9703
2010-07-21,-2.8846
2010-07-22,0.9901
2010-07-23,-6.3725
2010-07-26,9.9476
2010-07-27,2.8571
2010-07-28,1.8519
2010-07-29,-1.8182
2010-07-30,-0.9259
2010-08-02,-3.7382999999999997
2010-08-03,0.9709
