ticker,DOOR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-07-28,40.0
2009-07-29,-0.8929
2009-07-30,2.7027
2009-07-31,-1.7544
2009-08-03,3.5714
2009-08-05,3.4483
2009-08-18,34.8333
2009-09-02,-15.9456
2009-09-04,-11.7647
2009-09-08,0.0
2009-09-09,0.0
2009-09-11,23.3333
2009-09-15,3.3784
2009-09-22,9.8039
2009-09-30,-9.5238
2009-10-02,-2.6316
2009-10-09,0.0
2009-10-22,-5.4054
2009-10-23,0.0
2009-11-17,0.0
2009-12-07,-7.1429
2009-12-10,1.5385
2009-12-15,-3.0303
2009-12-16,6.25
2009-12-18,6.6176
2010-01-04,0.6897
2010-01-05,0.0
2010-01-06,2.7397
2010-01-08,0.0
2010-01-22,4.6667
2010-02-03,3.1847
2010-02-09,3.0864
2010-02-17,2.3952
2010-02-18,1.7544
2010-02-19,-1.7241
2010-02-23,-1.7544
2010-03-02,0.0
2010-03-04,0.5952
2010-03-15,0.0
2010-03-26,1.7751000000000001
2010-03-31,0.1163
2010-04-08,-0.1161
2010-04-14,-0.3488
2010-04-30,1.5169000000000001
2010-05-04,0.0
2010-05-13,-0.5747
2010-05-14,3.4682
2010-05-25,0.0
2010-05-27,0.0
2010-06-01,-1.2291
2010-06-03,-2.7149
2010-07-08,-2.3256
2010-07-16,-2.3810000000000002
2010-07-20,0.0
2010-07-23,1.8293
2010-07-27,-4.7904
2010-07-29,8.1761
2010-08-02,0.0
2010-08-17,0.0
2010-08-25,-11.6279
2010-08-31,0.0
2010-09-23,-2.6316
2010-09-24,0.0
2010-09-30,0.0
2010-12-13,-18.9189
2010-12-20,0.0
2010-12-22,11.3333
2010-12-23,1.7964
2010-12-27,-4.4118
2011-01-05,3.0769
2011-01-06,2.9851
2011-02-01,8.6957
2011-02-22,1.3333
2011-02-24,0.6579
2011-04-07,5.8824
2011-04-12,0.6173
2011-05-10,0.6135
2011-08-22,-21.8321
2011-11-14,-19.2982
2011-11-15,4.3478
2011-11-16,1.0417
2011-11-18,0.0
2011-11-28,0.0
2011-11-29,2.0619
2011-12-12,-1.0101
2011-12-14,-2.0408
2012-01-10,5.2083
2012-01-12,-0.198
2012-01-17,1.1905000000000001
2012-01-18,0.0
2012-01-26,1.9607999999999999
2012-01-31,2.8846
2012-02-14,-2.4299
2012-02-23,2.4904
2012-03-02,1.8692
2012-03-14,3.3028
2012-03-22,4.7957
2012-03-26,-3.3898
2012-04-12,2.6316
2012-04-16,1.7094
2012-04-17,-2.1849
