ticker,DARE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-04-10,-2.1429
2014-04-11,0.0
2014-04-14,2.9196999999999997
2014-04-15,-6.9504
2014-04-16,4.1159
2014-04-17,-4.0996
2014-04-21,6.7176
2014-04-22,1.5737
2014-04-23,-2.8169
2014-04-24,-2.3188
2014-04-25,-1.3353
2014-04-28,0.9023
2014-04-29,1.4903
2014-04-30,1.909
2014-05-01,-0.4323
2014-05-02,0.4342
2014-05-05,-2.7378
2014-05-06,1.3333
2014-05-07,-1.462
2014-05-08,-0.8902
2014-05-09,-2.6946
2014-05-12,-1.3846
2014-05-13,1.248
2014-05-14,5.7011
2014-05-15,-5.8309
2014-05-16,0.0
2014-05-19,0.4644
2014-05-20,-3.3898
2014-05-21,1.2759
2014-05-22,-1.5748
2014-05-23,-8.64
2014-05-27,0.7005
2014-05-28,-0.3478
2014-05-29,-2.2688
2014-05-30,1.9643000000000002
2014-06-02,-0.7005
2014-06-03,0.3527
2014-06-04,1.5817
2014-06-05,-3.2526
2014-06-06,-2.8970000000000002
2014-06-09,15.1934
2014-06-10,5.5156
2014-06-11,0.1515
2014-06-12,4.236
2014-06-13,0.5806
2014-06-16,-1.0101
2014-06-17,2.551
2014-06-18,1.4925
2014-06-19,1.8207
2014-06-20,-20.0825
2014-06-23,8.778
2014-06-24,-9.3354
2014-06-25,-0.8726
2014-06-26,3.169
2014-06-27,-1.1945000000000001
2014-06-30,0.1727
2014-07-01,-3.1034
2014-07-02,-4.4484
2014-07-03,-2.2346
2014-07-07,-0.381
2014-07-08,1.3384
2014-07-09,4.1509
2014-07-10,1.4493
2014-07-11,1.25
2014-07-14,-4.5855
2014-07-15,-3.1423
2014-07-16,0.3817
2014-07-17,-5.3232
2014-07-18,0.6024
2014-07-21,0.1996
2014-07-22,1.992
2014-07-23,-0.1953
2014-07-24,-0.7828
2014-07-25,-5.3254
2014-07-28,-10.8333
2014-07-29,3.0374
2014-07-30,-5.6689
2014-07-31,-3.125
2014-08-01,0.2481
2014-08-04,-2.4752
2014-08-05,-5.5838
2014-08-06,0.8065
2014-08-07,0.5333
2014-08-08,-4.7745
2014-08-11,-3.8997
2014-08-12,0.2899
2014-08-13,30.6358
2014-08-14,12.1681
2014-08-15,-0.5128
2014-08-18,2.1015
2014-08-19,-6.0194
2014-08-20,-7.438
2014-08-21,4.2411
2014-08-22,-3.8544
2014-08-25,-4.2316
2014-08-26,-5.3488
2014-08-27,0.0
2014-08-28,5.4054
2014-08-29,1.1655
