ticker,ASTI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-08-11,1.2048
2006-08-14,-1.1905000000000001
2006-08-15,-3.9157
2006-08-16,-5.0157
2006-08-17,-0.33
2006-08-18,-1.8212000000000002
2006-08-21,1.1804000000000001
2006-08-22,-6.6667
2006-08-23,3.9286
2006-08-24,-3.0928
2006-08-25,-0.7092
2006-08-28,-4.2857
2006-08-29,0.7463
2006-08-30,5.5556
2006-08-31,1.0175
2006-09-01,-2.0493
2006-09-05,-2.1277
2006-09-06,-0.3623
2006-09-07,-0.3636
2006-09-11,0.7299
2006-09-12,-2.1739
2006-09-13,-4.0741
2006-09-14,-6.5637
2006-09-15,-10.7438
2006-09-18,-5.5556
2006-09-19,5.3922
2006-09-20,-2.0
2006-09-21,-2.7053000000000003
2006-09-22,2.9268
2006-09-25,1.8957000000000002
2006-09-26,2.3256
2006-09-27,9.0909
2006-09-28,-5.8333
2006-09-29,-0.4425
2006-10-02,4.4
2006-10-03,10.6854
2006-10-04,-3.4615
2006-10-05,-3.5857
2006-10-06,5.3667
2006-10-09,-13.7213
2006-10-10,-2.7273
2006-10-11,26.1682
2006-10-12,-6.662
2006-10-13,7.9312000000000005
2006-10-16,13.6029
2006-10-17,0.9709
2006-10-18,4.1667
2006-10-19,5.8423
2006-10-20,1.7479
2006-10-23,0.2857
2006-10-24,-0.8547
2006-10-25,-0.0036
2006-10-26,-3.4412
2006-10-27,3.2662
2006-10-30,-3.7429
2006-10-31,-5.3892
2006-11-01,1.2658
2006-11-02,-2.8125
2006-11-03,1.2862
2006-11-06,2.2222
2006-11-07,8.3851
2006-11-08,-1.1461000000000001
2006-11-09,1.4493
2006-11-10,-2.0
2006-11-13,1.1662
2006-11-14,-0.8646
2006-11-15,-1.1628
2006-11-16,4.4154
2006-11-17,1.1232
2006-11-20,1.6713
2006-11-21,-3.5616
2006-11-22,-0.8523
2006-11-24,-3.7213000000000003
2006-11-27,-3.2774
2006-11-28,-4.5115
2006-11-29,4.7247
2006-11-30,2.4615
2006-12-01,-3.9039
2006-12-04,-0.9414
2006-12-05,0.9504
2006-12-06,-3.125
2006-12-07,0.0
2006-12-08,-0.6452
2006-12-11,-0.6494
2006-12-12,1.3072
2006-12-13,-2.5806
2006-12-14,-2.3179
2006-12-15,-5.0847
2006-12-18,-1.7856999999999998
2006-12-19,0.3636
2006-12-20,-1.8115999999999999
2006-12-21,-4.059
2006-12-22,5.0
2006-12-26,-0.3663
2006-12-27,2.9412000000000003
