ticker,XGN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-09-19,32.7143
2019-09-20,-8.5038
2019-09-23,2.9412000000000003
2019-09-24,-4.0571
2019-09-25,-12.4479
2019-09-26,-0.8163
2019-09-27,-0.5487
2019-09-30,6.8276
2019-10-01,-1.5493999999999999
2019-10-02,-2.9508
2019-10-03,-1.3514
2019-10-04,-0.3425
2019-10-07,0.1375
2019-10-08,-5.628
2019-10-09,-3.4182
2019-10-10,-1.9578
2019-10-11,-3.149
2019-10-14,3.0928
2019-10-15,0.0
2019-10-16,-0.3846
2019-10-17,4.3243
2019-10-18,3.5529
2019-10-21,3.8599
2019-10-22,-2.4088
2019-10-23,3.5966
2019-10-24,-4.2206
2019-10-25,4.4776
2019-10-28,0.8163
2019-10-29,1.6869
2019-10-30,5.1758
2019-10-31,-4.9841999999999995
2019-11-01,5.6441
2019-11-04,9.8052
2019-11-05,8.1855
2019-11-06,7.8307
2019-11-07,-4.7596
2019-11-08,-0.5152
2019-11-11,2.3304
2019-11-12,-1.3664
2019-11-13,-1.2827
2019-11-14,-2.8067
2019-11-15,5.3476
2019-11-18,-1.8782
2019-11-19,-1.1381000000000001
2019-11-20,-0.5756
2019-11-21,-6.7895
2019-11-22,2.3715
2019-11-25,-0.717
2019-11-26,-2.1111
2019-11-27,-3.462
2019-11-29,4.8795
2019-12-02,1.6256
2019-12-03,-3.5301
2019-12-04,3.6021
2019-12-05,-0.6623
2019-12-06,1.6111
2019-12-09,-3.2258
2019-12-10,2.2034
2019-12-11,-3.1509
2019-12-12,0.1142
2019-12-13,2.4515000000000002
2019-12-16,4.7301
2019-12-17,-1.2221
2019-12-18,10.4357
2019-12-19,5.4067
2019-12-20,0.7856
2019-12-23,23.8423
2019-12-24,3.6653000000000002
2019-12-26,1.7143000000000002
2019-12-27,-9.6208
2019-12-30,0.9713
2019-12-31,-2.2701000000000002
2020-01-02,2.1654
2020-01-03,-5.0482
2020-01-06,-2.0698
2020-01-07,0.8288
2020-01-08,0.7398
2020-01-09,-1.3056
2020-01-10,-0.2067
2020-01-13,2.4855
2020-01-14,-1.6168
2020-01-15,-1.2736
2020-01-16,0.6658
2020-01-17,-2.8524000000000003
2020-01-21,-2.2979
2020-01-22,-1.6115
2020-01-23,-6.5958
2020-01-24,4.7393
2020-01-27,7.7828
2020-01-28,-3.6314
2020-01-29,2.3742
2020-01-30,-4.2553
2020-01-31,-8.2222
2020-02-03,1.8885999999999998
2020-02-04,-2.8992
2020-02-05,1.3705
