ticker,LXRP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-11-02,250.0
2006-11-06,57.1429
2006-11-09,36.3636
2006-11-10,0.0
2006-11-13,6.6667
2006-11-14,3.75
2006-11-22,-1.8072
2006-11-28,-4.2945
2006-11-29,-3.8462
2006-11-30,-13.3333
2006-12-04,6.1538
2006-12-05,1.4493
2006-12-06,-2.8571
2006-12-07,0.0
2006-12-11,17.647100000000002
2006-12-22,-18.75
2006-12-26,0.0
2006-12-27,10.7692
2006-12-28,-5.5556
2006-12-29,2.9412000000000003
2007-01-04,1.1429
2007-01-05,4.5198
2007-01-08,-4.4595
2007-01-10,-0.9901
2007-01-11,7.1429
2007-01-12,-6.6667
2007-01-16,0.0
2007-01-17,18.5714
2007-01-18,0.0
2007-01-19,7.8313
2007-01-22,5.5866
2007-01-23,3.1746
2007-01-24,0.0
2007-01-25,-1.5385
2007-01-26,2.0833
2007-01-29,-0.5102
2007-01-30,-1.5385
2007-02-01,2.0833
2007-02-02,-3.0612
2007-02-05,-5.2632
2007-02-06,4.4444
2007-02-08,4.2553
2007-02-12,-8.1633
2007-02-15,8.8889
2007-02-16,0.0
2007-02-20,0.0
2007-02-21,-3.0612
2007-02-22,0.1053
2007-02-23,4.1009
2007-02-26,-6.0606
2007-02-28,-3.2258
2007-03-02,-5.5556
2007-03-08,5.8824
2007-03-09,0.0
2007-03-12,-4.4444
2007-03-13,-1.1628
2007-03-14,1.1764999999999999
2007-03-15,-1.1628
2007-03-16,1.1764999999999999
2007-03-19,0.0
2007-03-20,-1.1628
2007-03-21,0.0
2007-03-22,0.0
2007-03-23,0.0
2007-03-27,0.0
2007-03-28,5.8824
2007-03-29,-5.5556
2007-03-30,0.0
2007-04-02,0.0
2007-04-03,14.1176
2007-04-04,-15.4639
2007-04-05,-2.439
2007-04-10,0.0
2007-04-20,6.25
2007-04-24,-5.8824
2007-05-04,-5.0
2007-05-07,1.3158
2007-05-09,-2.5974
2007-05-11,-6.6667
2007-05-14,0.0
2007-05-17,-10.0
2007-05-18,19.0476
2007-05-21,-20.0
2007-05-22,6.6667
2007-05-23,-6.25
2007-05-24,5.0
2007-05-25,14.2857
2007-05-29,0.0
2007-05-30,4.1667
2007-05-31,-6.6667
2007-06-05,5.7143
2007-06-06,6.7568
2007-06-07,-5.0633
2007-06-08,-6.6667
2007-06-12,14.2857
2007-06-13,-12.5
2007-06-15,0.0
2007-06-18,21.4286
2007-06-26,-4.7059
2007-06-27,4.9383
2007-06-29,-8.2353
