ticker,DTRC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-09-16,-8.1818
2005-09-21,-10.8911
2005-10-04,-15.0
2005-10-05,-1.9607999999999999
2005-10-06,1.3333
2005-10-07,0.0
2005-10-12,-2.6316
2005-10-13,0.0
2005-10-14,0.0
2005-10-19,-2.7027
2005-10-24,4.1667
2005-10-25,-5.3333
2005-10-26,5.6338
2005-10-28,0.0
2005-11-02,4.0
2005-11-08,-7.6923
2005-11-09,0.0
2005-11-10,0.0
2005-11-15,2.7778
2005-11-18,-4.0541
2005-11-25,-1.4085
2005-11-30,0.0
2005-12-02,2.8571
2005-12-05,0.0
2005-12-06,-1.3889
2005-12-07,0.0
2005-12-08,0.0
2005-12-09,-1.4085
2005-12-12,1.4285999999999999
2005-12-13,-1.4085
2005-12-14,2.8571
2005-12-22,-0.3472
2005-12-23,-2.439
2005-12-27,2.8571
2005-12-30,-2.7778
2006-01-12,7.1429
2006-01-13,-6.6667
2006-01-18,0.0
2006-01-20,0.0
2006-01-23,4.2857
2006-01-27,2.7397
2006-01-30,0.0
2006-02-01,-1.3333
2006-02-09,-4.0541
2006-02-13,5.6338
2006-02-21,-5.3333
2006-02-22,-7.0423
2006-02-23,0.0
2006-02-28,1.5152
2006-03-10,1.4925
2006-03-17,-11.7647
2006-03-27,0.0
2006-03-28,3.3333
2006-04-03,3.2258
2006-04-04,-3.125
2006-04-07,-3.2258
2006-04-10,2.5
2006-04-11,0.813
2006-04-12,4.8387
2006-04-19,-5.3846
2006-04-20,30.0813
2006-04-25,2.5
2006-04-26,-8.5366
2006-04-27,-2.6667
2006-04-28,-10.9589
2006-05-04,-3.0769
2006-05-11,1.5873
2006-05-15,-6.25
2006-05-17,0.0
2006-05-19,-15.0
2006-06-02,27.451
2006-06-06,7.6923
2006-06-08,0.0
2006-06-13,-4.2857
2006-06-14,0.7463
2006-06-15,-0.3704
2006-06-19,-0.3717
2006-06-20,2.2388
2006-06-21,-0.7299
2006-06-22,0.7353
2006-06-23,-3.6496
2006-06-30,0.0
2006-07-06,203.0303
2006-07-12,-67.0
2006-07-13,0.0
2006-07-14,27.2727
2006-07-17,-4.7619
2006-07-18,17.5
2006-07-19,-6.383
2006-07-20,-1.1364
2006-07-21,21.8391
2006-07-26,-18.8679
2006-07-28,2.3256
2006-07-31,-4.5455
2006-08-01,-2.3810000000000002
2006-08-02,9.7561
2006-08-03,0.0
2006-08-04,-6.6667
2006-08-08,2.3810000000000002
2006-08-09,4.6512
