ticker,RGSEQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-05-08,-12.0
2008-05-09,0.4361
2008-05-12,-10.2776
2008-05-13,-5.4224
2008-05-14,-3.4667
2008-05-15,-0.1381
2008-05-16,0.5533
2008-05-19,6.6025
2008-05-20,-8.2581
2008-05-21,-6.1885
2008-05-22,3.2984
2008-05-23,-2.7576
2008-05-27,1.4925
2008-05-28,6.6176
2008-05-29,2.8966
2008-05-30,-2.815
2008-06-02,0.6897
2008-06-03,-1.7808000000000002
2008-06-04,-3.6262
2008-06-05,-1.7366000000000001
2008-06-06,-5.7437000000000005
2008-06-09,-3.9063
2008-06-10,-5.6911000000000005
2008-06-11,3.4483
2008-06-12,0.1667
2008-06-13,0.0
2008-06-16,9.4842
2008-06-17,-6.231
2008-06-18,-0.3241
2008-06-19,1.4634
2008-06-20,-2.0833
2008-06-23,0.491
2008-06-24,0.6515
2008-06-25,-2.9126
2008-06-26,-1.9
2008-06-27,2.1067
2008-06-30,2.3295
2008-07-01,-2.439
2008-07-02,-0.6667
2008-07-03,0.6711
2008-07-07,-1.0
2008-07-08,2.6936
2008-07-09,3.2766
2008-07-10,5.8731
2008-07-11,-6.595
2008-07-14,-2.0867
2008-07-15,-1.4754
2008-07-16,0.0
2008-07-17,1.9468
2008-07-18,0.4652
2008-07-21,-3.8258
2008-07-22,3.0405
2008-07-23,4.5902
2008-07-24,-4.3887
2008-07-25,-0.9816
2008-07-28,5.4614
2008-07-29,-1.5699
2008-07-30,-2.3923
2008-07-31,-1.4685000000000001
2008-08-01,-0.3337
2008-08-04,2.3315
2008-08-05,5.6889
2008-08-06,2.3058
2008-08-07,-1.9529999999999998
2008-08-08,-2.9141
2008-08-11,5.5292
2008-08-12,-2.8443
2008-08-13,3.3898
2008-08-14,-4.918
2008-08-15,0.9561
2008-08-18,-1.7233
2008-08-19,-1.169
2008-08-20,1.5026000000000002
2008-08-21,3.3071
2008-08-22,-1.6768
2008-08-25,-6.2946
2008-08-26,4.2356
2008-08-27,-1.5873
2008-08-28,2.2580999999999998
2008-08-29,-1.1041
2008-09-02,-4.1467
2008-09-03,-0.6656
2008-09-04,1.005
2008-09-05,-1.6055000000000001
2008-09-08,-1.5706
2008-09-09,-14.725999999999999
2008-09-10,-2.6104000000000003
2008-09-11,1.6701000000000001
2008-09-12,-1.8455
2008-09-15,-26.6529
2008-09-16,14.0845
2008-09-17,-11.358
2008-09-18,7.2423
2008-09-19,10.3896
2008-09-22,-5.6471
