ticker,TOPZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-04-22,-35.4839
2010-04-23,50.0
2010-04-26,66.6667
2010-04-27,30.0
2010-04-28,1.5385
2010-04-29,-3.0303
2010-04-30,9.375
2010-05-03,0.0
2010-05-04,0.0
2010-05-05,7.1429
2010-05-07,6.6667
2010-05-10,13.75
2010-05-11,-1.0989
2010-05-12,-8.3333
2010-05-13,-12.7273
2010-05-17,4.1667
2010-05-18,20.0
2010-05-19,1.1111
2010-05-20,4.3956
2010-05-21,7.3684
2010-05-24,0.0
2010-05-25,-0.9804
2010-05-26,0.9901
2010-05-27,0.9804
2010-05-28,0.0
2010-06-01,0.9709
2010-06-02,-2.4519
2010-06-03,1.5278
2010-06-04,4.8544
2010-06-07,-0.7407
2010-06-08,-2.0522
2010-06-09,-3.8095
2010-06-10,2.5743
2010-06-11,1.3514
2010-06-14,0.0
2010-06-15,-0.9524
2010-06-16,0.9615
2010-06-17,0.9524
2010-06-18,-2.9245
2010-06-21,2.0408
2010-06-22,-18.0952
2010-06-23,6.9767
2010-06-24,2.1739
2010-06-25,-1.0638
2010-06-28,2.1505
2010-06-29,1.0526
2010-06-30,0.0
2010-07-01,0.0
2010-07-02,-6.25
2010-07-06,2.2222
2010-07-07,-16.3043
2010-07-08,-33.7662
2010-07-09,-1.9607999999999999
2010-07-12,-16.0
2010-07-13,0.0
2010-07-14,-11.9048
2010-07-15,0.0
2010-07-16,0.0
2010-07-19,-8.1081
2010-07-20,-11.7647
2010-07-21,0.0
2010-07-22,10.0
2010-07-23,-3.0303
2010-07-26,-3.125
2010-07-27,3.2258
2010-07-28,0.0
2010-07-29,2.8125
2010-07-30,0.304
2010-08-02,15.1515
2010-08-03,-7.8947
2010-08-04,11.4286
2010-08-05,0.0
2010-08-06,0.0
2010-08-09,-8.9744
2010-08-10,1.4085
2010-08-11,2.7778
2010-08-12,0.0
2010-08-13,-2.7027
2010-08-16,0.0
2010-08-17,0.0
2010-08-18,-1.3889
2010-08-19,8.4507
2010-08-20,-1.2987
2010-08-23,-5.2632
2010-08-24,-2.7778
2010-08-25,2.8571
2010-08-26,8.3333
2010-08-27,0.0
2010-08-30,6.4103
2010-08-31,2.8916
2010-09-01,3.0445
2010-09-02,0.0
2010-09-03,-1.1364
2010-09-07,0.9195
2010-09-08,7.0615
2010-09-09,0.0
2010-09-10,4.2553
2010-09-13,-2.0026
2010-09-14,4.126
2010-09-15,-4.0
2010-09-16,1.0417
2010-09-17,1.0309
