ticker,PLUG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.4248
2000-01-04,-4.6296
2000-01-05,14.5631
2000-01-06,22.8814
2000-01-07,117.931
2000-01-10,-25.5538
2000-01-11,-13.8151
2000-01-12,12.2072
2000-01-13,1.7582
2000-01-14,-4.9676
2000-01-18,15.4545
2000-01-19,22.4409
2000-01-20,9.3248
2000-01-21,28.0882
2000-01-24,25.3731
2000-01-25,-4.0293
2000-01-26,-8.4924
2000-01-27,-17.4661
2000-01-28,-15.6033
2000-01-31,12.2754
2000-02-01,21.0
2000-02-02,-9.2011
2000-02-03,7.767
2000-02-04,3.6036
2000-02-07,-5.2174
2000-02-08,3.6696999999999997
2000-02-09,-1.3274
2000-02-10,-2.13
2000-02-11,2.7491
2000-02-14,19.0635
2000-02-15,-5.3371
2000-02-16,-5.3412
2000-02-17,7.628
2000-02-18,1.7476
2000-02-22,-0.4771
2000-02-23,-2.6366
2000-02-24,-4.9729
2000-02-25,-4.456
2000-02-28,-7.3753
2000-02-29,10.0117
2000-03-01,-0.1597
2000-03-02,3.1983
2000-03-03,-0.1033
2000-03-06,-3.1024
2000-03-07,-5.2295
2000-03-08,5.2928
2000-03-09,1.9251
2000-03-10,25.7083
2000-03-13,-6.5109
2000-03-14,-16.4286
2000-03-15,1.0684
2000-03-16,4.4397
2000-03-17,-1.3158
2000-03-20,-9.2821
2000-03-21,-3.7309
2000-03-22,2.6424
2000-03-23,-1.1442
2000-03-24,-5.9606
2000-03-27,-4.6769
2000-03-28,-5.2937
2000-03-29,-7.5665
2000-03-30,-1.1799
2000-03-31,1.4925
2000-04-03,-10.3676
2000-04-04,8.9418
2000-04-05,10.8434
2000-04-06,-1.087
2000-04-07,-2.4725
2000-04-10,-8.2394
2000-04-11,-0.2302
2000-04-12,-7.3846
2000-04-13,-7.8073
2000-04-14,-20.4505
2000-04-17,-1.2458
2000-04-18,30.6193
2000-04-19,-8.6918
2000-04-20,-3.2692
2000-04-24,-7.5547
2000-04-25,10.3226
2000-04-26,-3.3138
2000-04-27,17.7419
2000-04-28,9.589
2000-05-01,8.75
2000-05-02,-6.8966
2000-05-03,0.3858
2000-05-04,-26.9024
2000-05-05,-5.7834
2000-05-08,0.4464
2000-05-09,-10.2222
2000-05-10,-0.2475
2000-05-11,2.8536
2000-05-12,7.117
2000-05-15,0.2252
2000-05-16,-2.9213
2000-05-17,-2.0833
2000-05-18,-0.3546
2000-05-19,-3.9146
2000-05-22,-1.4815
