ticker,NHEL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-03-15,400.0
2018-03-16,0.0
2018-03-19,100.0
2018-03-27,-40.0
2018-03-28,0.0
2018-04-09,4.1667
2018-04-30,0.0
2018-05-02,16.0
2018-05-07,3.4483
2018-05-10,0.6667
2018-05-15,3.3113
2018-05-16,15.3846
2018-05-30,-5.5556
2018-06-05,-2.9412000000000003
2018-06-19,21.2121
2018-07-09,15.0
2018-07-18,2.1739
2018-08-14,0.0
2018-08-28,0.0
2018-08-29,2.1277
2018-08-30,-2.0833
2018-08-31,2.1277
2018-09-04,-2.0833
2018-09-05,2.1277
2018-09-06,0.8333
2018-09-07,0.0
2018-09-10,0.4132
2018-09-11,0.4115
2018-09-12,-1.6393
2018-09-13,0.0
2018-09-14,0.4167
2018-09-17,0.0
2018-09-18,0.0
2018-09-19,0.0
2018-09-20,0.0
2018-09-21,0.4149
2018-09-24,-0.4132
2018-09-25,0.4149
2018-10-29,0.0
2018-11-23,65.2893
2018-12-10,50.0
2018-12-12,-57.5
2018-12-13,-1.9607999999999999
2018-12-14,-0.8
2018-12-24,0.4032
2019-01-07,-59.8394
2019-01-08,-32.0
2019-01-14,5.8824
2019-01-15,2.7778
2019-01-16,0.0
2019-01-17,4.0541
2019-01-18,0.0
2019-01-22,1.9481000000000002
2019-01-23,1.9108
2019-01-24,1.25
2019-01-25,-2.4691
2019-01-28,1.2658
2019-01-29,-12.5
2019-01-30,7.1429
2019-02-01,6.6667
2019-02-04,3.125
2019-02-05,3.0303
2019-02-06,1.1764999999999999
2019-02-07,8.1395
2019-02-08,9.6774
2019-02-11,-0.9804
2019-02-12,1.9802
2019-02-13,-2.9126
2019-02-14,8.0
2019-02-15,3.7037
2019-02-19,-4.4643
2019-02-20,-3.7382999999999997
2019-02-21,3.8834999999999997
2019-02-22,0.0
2019-02-25,0.0
2019-02-26,6.5421
2019-02-27,7.8947
2019-02-28,0.0
2019-03-01,-5.6911000000000005
2019-03-04,-3.4483
2019-03-05,7.1429
2019-03-06,2.5
2019-03-07,2.439
2019-03-08,-0.7937
2019-03-11,8.0
2019-03-12,3.7037
2019-03-13,-5.0
2019-03-14,-18.609
2019-03-15,14.5497
2019-03-18,-1.6129
2019-03-19,-3.2787
2019-03-20,3.3898
2019-03-21,0.0
2019-03-22,-5.7377
2019-03-25,-7.8261
2019-03-26,-25.4717
2019-03-27,-47.4684
2019-03-28,-51.8072
2019-03-29,30.25
2019-04-01,17.0825
2019-04-02,8.1967
