ticker,GDP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-12-13,0.0
2016-12-14,-10.4167
2016-12-15,4.6512
2016-12-16,-4.0
2016-12-19,5.5556
2016-12-20,22.807
2016-12-21,0.0
2016-12-22,-21.4286
2016-12-23,13.6364
2016-12-29,-0.799
2017-01-03,0.8054
2017-01-05,4.0
2017-01-09,1.924
2017-01-11,0.0745
2017-01-12,5.5807
2017-01-17,-3.2143
2017-01-19,3.321
2017-01-20,0.0
2017-01-24,0.0
2017-01-25,-0.3571
2017-01-26,0.0
2017-01-27,0.3584
2017-01-30,0.7143
2017-01-31,-0.3546
2017-02-07,1.0676
2017-02-08,-1.4085
2017-02-10,1.7856999999999998
2017-02-17,-0.7018
2017-02-21,0.0
2017-02-23,-1.0601
2017-03-01,0.7143
2017-03-02,-0.3546
2017-03-03,-1.7793999999999999
2017-03-06,-1.8115999999999999
2017-03-07,-0.369
2017-03-08,0.0
2017-03-09,-3.3333
2017-03-10,-0.3831
2017-03-13,0.0
2017-03-14,-3.8462
2017-03-15,8.0
2017-03-16,0.0
2017-03-17,3.7037
2017-03-20,0.0
2017-03-21,2.5
2017-03-23,-0.2787
2017-03-24,0.4892
2017-03-27,0.8345
2017-03-28,1.7241
2017-03-29,-2.3729
2017-03-30,-5.1389
2017-04-06,2.123
2017-04-07,9.319
2017-04-10,4.5902
2017-04-11,0.9404
2017-04-12,-4.3478
2017-04-13,-0.2597
2017-04-17,-1.1719
2017-04-18,-4.4796
2017-04-19,-2.069
2017-04-20,0.7042
2017-04-21,-2.028
2017-04-24,-0.0714
2017-04-25,1.5714000000000001
2017-04-26,-7.8762
2017-04-27,3.0534
2017-04-28,0.0
2017-05-01,2.0
2017-05-02,1.6703000000000001
2017-05-03,-2.0
2017-05-04,-5.2478
2017-05-05,2.0
2017-05-08,0.905
2017-05-09,1.6442
2017-05-10,1.1029
2017-05-11,-1.0909
2017-05-12,2.9412000000000003
2017-05-15,0.0
2017-05-16,-2.7857
2017-05-17,-2.3512
2017-05-18,-1.5800999999999998
2017-05-19,0.7645
2017-05-22,-8.7253
2017-05-23,-1.1638
2017-05-24,-3.7006
2017-05-25,4.5415
2017-05-26,1.5873
2017-05-30,-1.0691
2017-05-31,0.4156
2017-06-01,0.9934
2017-06-02,-3.6885
2017-06-05,3.8298
2017-06-06,3.6066000000000003
2017-06-07,-4.193
2017-06-08,-2.9727
2017-06-09,3.8298
2017-06-12,4.0984
2017-06-13,2.3622
2017-06-14,3.4615
