ticker,CPCC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-02-03,0.0
2009-02-20,-5.9406
2009-04-03,-44.2105
2009-04-22,90.566
2009-04-23,8.9109
2009-04-24,-9.0909
2009-04-30,7.0
2009-05-01,-1.8692
2009-05-04,0.0
2009-05-05,3.8095
2009-05-06,37.6147
2009-05-08,-26.6667
2009-05-15,-9.0909
2009-05-18,40.0
2009-05-20,-21.4286
2009-05-21,0.0
2009-05-22,0.0
2009-05-26,-8.1818
2009-05-27,0.0
2009-05-28,0.0
2009-05-29,0.0
2009-06-01,23.7624
2009-06-03,-52.0
2009-06-04,58.3333
2009-06-08,10.526299999999999
2009-06-09,0.0
2009-06-12,-13.3333
2009-06-15,0.0
2009-06-16,0.0
2009-06-19,15.3846
2009-06-23,-18.0952
2009-06-24,16.2791
2009-06-25,-48.0
2009-06-26,53.8462
2009-06-29,-31.25
2009-07-08,-7.2727
2009-07-09,-5.8824
2009-07-10,0.0
2009-07-13,104.1667
2009-07-14,0.0
2009-07-17,-47.9592
2009-07-20,0.0
2009-07-22,3.9215999999999998
2009-07-30,-69.8113
2009-08-03,243.75
2009-08-04,-69.0909
2009-08-05,0.0
2009-08-06,-11.7647
2009-08-07,-33.3333
2009-08-11,50.0
2009-08-12,106.6667
2009-08-13,-24.1935
2009-08-14,17.0213
2009-08-17,-23.6364
2009-08-18,17.1429
2009-08-19,-2.439
2009-08-21,-16.6667
2009-08-24,40.0
2009-08-25,35.9598
2009-08-26,12.9535
2009-08-27,-4.6512
2009-08-28,-2.439
2009-08-31,-12.5
2009-09-01,2.8571
2009-09-02,-30.5556
2009-09-03,4.0
2009-09-04,11.538499999999999
2009-09-08,-10.3448
2009-09-09,3.8462
2009-09-10,29.6296
2009-09-11,-14.2857
2009-09-14,0.0
2009-09-15,-10.0
2009-09-16,0.0
2009-09-17,7.4074
2009-09-18,0.0
2009-09-21,-6.5517
2009-09-22,-7.7491
2009-09-23,0.0
2009-09-24,0.0
2009-09-25,0.0
2009-09-28,16.0
2009-09-29,-13.7931
2009-09-30,0.0
2009-10-01,-20.0
2009-10-02,0.0
2009-10-05,25.0
2009-10-06,0.0
2009-10-07,0.0
2009-10-08,-12.0
2009-10-09,13.6364
2009-10-12,-36.0
2009-10-13,49.375
2009-10-14,-28.8703
2009-10-15,0.0
2009-10-16,-11.7647
2009-10-19,0.0
2009-10-20,0.0
2009-10-21,0.0
2009-10-22,-3.3333
2009-10-23,31.0345
2009-10-26,-23.6842
2009-10-27,10.3448
