ticker,ASPN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-06-13,-2.2727
2014-06-16,-1.1163
2014-06-17,-3.5747999999999998
2014-06-18,0.0976
2014-06-19,2.6316
2014-06-20,1.1396
2014-06-23,7.4178
2014-06-24,0.1748
2014-06-25,-4.8866
2014-06-26,1.0092
2014-06-27,2.089
2014-06-30,-1.6904
2014-07-01,0.181
2014-07-02,-0.6323
2014-07-03,1.0909
2014-07-07,2.1583
2014-07-08,-5.5458
2014-07-09,-0.0932
2014-07-10,0.2799
2014-07-11,0.9302
2014-07-14,-1.659
2014-07-15,-1.3121
2014-07-16,-2.3742
2014-07-17,2.9183
2014-07-18,-5.104
2014-07-21,-3.9840999999999998
2014-07-22,-0.4149
2014-07-23,-0.4167
2014-07-24,-0.6276
2014-07-25,-2.4211
2014-07-28,0.0
2014-07-29,0.3236
2014-07-30,-1.0753
2014-07-31,-2.1739
2014-08-01,1.1111
2014-08-04,-1.0989
2014-08-05,-8.7778
2014-08-06,0.9744
2014-08-07,-2.7744
2014-08-08,3.2258
2014-08-11,5.7692
2014-08-12,4.3182
2014-08-13,13.8344
2014-08-14,-0.1914
2014-08-15,-9.9712
2014-08-18,7.0288
2014-08-19,2.5871
2014-08-20,-0.7759
2014-08-21,2.1505
2014-08-22,3.2536
2014-08-25,-0.6487
2014-08-26,0.8396
2014-08-27,1.0176
2014-08-28,-3.3883
2014-08-29,0.7583
2014-09-02,0.3763
2014-09-03,3.5614
2014-09-04,-3.1673999999999998
2014-09-05,-0.2336
2014-09-08,0.7026
2014-09-09,-0.7442
2014-09-10,1.0309
2014-09-11,-1.8553
2014-09-12,2.1739
2014-09-15,-1.5726
2014-09-16,-4.3233
2014-09-17,0.1965
2014-09-18,2.8430999999999997
2014-09-19,-4.6711
2014-09-22,-0.1
2014-09-23,1.1011
2014-09-24,1.0891
2014-09-25,0.2938
2014-09-26,2.2461
2014-09-29,-2.8653
2014-09-30,-0.885
2014-10-01,-5.754
2014-10-02,7.2632
2014-10-03,-0.0981
2014-10-06,1.9646
2014-10-07,-2.6012
2014-10-08,-2.7695
2014-10-09,-3.2553
2014-10-10,-0.1052
2014-10-13,2.0
2014-10-14,-1.7544
2014-10-15,-1.3655
2014-10-16,5.4313
2014-10-17,-2.7273
2014-10-20,0.3115
2014-10-21,1.4493
2014-10-22,-2.0408
2014-10-23,1.1458
2014-10-24,1.4418
2014-10-27,-1.3197999999999999
2014-10-28,1.3374
2014-10-29,-0.1015
2014-10-30,0.0
