ticker,SVA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-09-30,-3.8462
2003-10-02,2.6667
2003-10-08,-1.2987
2003-10-09,-1.3158
2003-10-10,0.0
2003-10-14,0.0
2003-10-17,1.3333
2003-10-21,2.6316
2003-10-22,0.0
2003-10-23,0.0
2003-10-24,-1.2821
2003-10-28,-2.5974
2003-10-29,0.6667
2003-10-30,3.3113
2003-10-31,1.2821
2003-11-03,3.7975
2003-11-04,25.6098
2003-11-05,9.7087
2003-11-06,10.6195
2003-11-07,-6.4
2003-11-10,2.5641
2003-11-11,8.3333
2003-11-12,0.7692
2003-11-13,3.0534
2003-11-14,5.1852
2003-11-17,3.169
2003-11-18,3.7542999999999997
2003-11-19,3.9474
2003-11-20,-1.5823
2003-11-21,0.9646
2003-11-24,11.465
2003-11-25,1.1429
2003-11-26,-1.6949
2003-11-28,-1.1494
2003-12-01,0.0
2003-12-02,1.1628
2003-12-03,-1.1494
2003-12-04,0.0
2003-12-05,0.0
2003-12-08,-0.5814
2003-12-09,-0.5848
2003-12-10,0.5882
2003-12-11,0.0
2003-12-12,0.0
2003-12-15,-0.5848
2003-12-16,0.0
2003-12-17,0.0
2003-12-18,-0.5882
2003-12-19,0.5917
2003-12-22,0.5882
2003-12-23,0.0
2003-12-24,1.1696
2003-12-26,-0.578
2003-12-29,4.6512
2003-12-30,0.0
2003-12-31,-2.2222
2004-01-02,-2.2727
2004-01-05,0.0
2004-01-06,0.0
2004-01-07,1.1628
2004-01-08,0.0
2004-01-09,1.1494
2004-01-12,-0.5682
2004-01-13,2.2857
2004-01-14,1.1173
2004-01-15,1.6575
2004-01-16,5.4348
2004-01-20,24.2268
2004-01-21,-4.1494
2004-01-22,3.6797
2004-01-23,0.4175
2004-01-26,0.2079
2004-01-27,14.1079
2004-01-28,1.8182
2004-01-29,-1.4285999999999999
2004-01-30,-1.087
2004-02-02,0.7326
2004-02-03,8.3636
2004-02-04,8.3893
2004-02-05,-9.9071
2004-02-06,4.1237
2004-02-09,3.6304
2004-02-10,3.6624
2004-02-11,4.1475
2004-02-12,1.7699
2004-02-13,2.3188
2004-02-17,10.3399
2004-02-18,7.3171
2004-02-19,-5.0239
2004-02-20,0.0
2004-02-23,0.7557
2004-02-24,0.0
2004-02-25,0.25
2004-02-26,2.2444
2004-02-27,10.2439
2004-03-01,11.2832
2004-03-02,-1.3917
2004-03-03,1.8145
2004-03-04,11.8812
2004-03-05,13.2743
2004-03-08,7.0312
2004-03-09,-21.4599
