ticker,SND US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-11-04,-0.0909
2016-11-07,0.7279
2016-11-08,0.0
2016-11-09,4.607
2016-11-10,-0.0864
2016-11-11,-1.815
2016-11-14,-1.5845
2016-11-15,0.1789
2016-11-16,-1.9643000000000002
2016-11-17,-0.0911
2016-11-18,-1.8232
2016-11-21,4.1783
2016-11-22,5.3476
2016-11-23,4.0609
2016-11-25,1.2195
2016-11-28,-0.4819
2016-11-29,-1.6949
2016-11-30,12.2332
2016-12-01,-0.6584
2016-12-02,-0.8837
2016-12-05,2.1545
2016-12-06,0.6545
2016-12-07,0.7225
2016-12-08,-1.4346999999999999
2016-12-09,1.1645
2016-12-12,0.0
2016-12-13,0.2158
2016-12-14,-3.0869
2016-12-15,3.7037
2016-12-16,4.5
2016-12-19,1.9822
2016-12-20,3.2172
2016-12-21,3.3117
2016-12-22,-2.3256
2016-12-23,4.2471
2016-12-27,0.5556
2016-12-28,-0.3069
2016-12-29,0.4926
2016-12-30,1.4093
2017-01-03,1.6314
2017-01-04,4.0428
2017-01-05,-1.0857
2017-01-06,2.6574
2017-01-09,2.5886
2017-01-10,1.4811
2017-01-11,2.973
2017-01-12,-0.6299
2017-01-13,-4.1204
2017-01-17,-3.9669
2017-01-18,7.5731
2017-01-19,1.8133
2017-01-20,-0.681
2017-01-23,-2.7954
2017-01-24,0.0
2017-01-25,-2.3874
2017-01-26,-0.1668
2017-01-27,-1.392
2017-01-30,-5.4207
2017-01-31,3.8806000000000003
2017-02-01,1.4368
2017-02-02,-0.5099
2017-02-03,-0.2847
2017-02-06,-1.4849
2017-02-07,0.4638
2017-02-08,1.0387
2017-02-09,2.57
2017-02-10,-0.8909
2017-02-13,2.191
2017-02-14,5.2226
2017-02-15,-0.7315
2017-02-16,-0.7368
2017-02-17,-0.106
2017-02-21,5.8386
2017-02-22,5.3159
2017-02-23,-4.4762
2017-02-24,-10.0199
2017-02-27,0.7756
2017-02-28,-5.6075
2017-03-01,5.9406
2017-03-02,-5.5525
2017-03-03,-1.0477
2017-03-06,-1.6471
2017-03-07,-3.2895
2017-03-08,-7.1738
2017-03-09,-8.3278
2017-03-10,-3.125
2017-03-13,-0.2251
2017-03-14,-2.5564
2017-03-15,5.1698
2017-03-16,6.5297
2017-03-17,9.573
2017-03-20,0.0629
2017-03-21,-11.1809
2017-03-22,2.2631
2017-03-23,0.8299
2017-03-24,3.0864
2017-03-27,-2.8609
2017-03-28,4.9315
2017-03-29,5.0261
