ticker,CSSE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-08-18,-22.9167
2017-08-21,10.1622
2017-08-22,2.3553
2017-08-23,10.7383
2017-08-24,-1.9048
2017-08-25,-6.3548
2017-08-28,-2.4505
2017-08-29,-4.5411
2017-08-30,-1.8218999999999999
2017-08-31,-1.3402
2017-09-01,1.7764
2017-09-05,-10.6776
2017-09-06,-3.4483
2017-09-07,-8.3333
2017-09-08,3.7662
2017-09-11,1.5019
2017-09-12,-1.4797
2017-09-13,-3.5044
2017-09-14,-6.2257
2017-09-15,-1.6598000000000002
2017-09-18,-0.5626
2017-09-19,6.5064
2017-09-20,9.5618
2017-09-21,4.2424
2017-09-22,3.4884
2017-09-25,-2.5843
2017-09-26,-7.8431
2017-09-27,-8.8861
2017-09-28,-1.9231
2017-09-29,0.7003
2017-10-02,-0.4172
2017-10-03,3.4916
2017-10-04,-2.1592000000000002
2017-10-05,2.6207000000000003
2017-10-06,9.543
2017-10-09,-3.8037
2017-10-10,-0.7653
2017-10-11,-6.1697
2017-10-12,0.8219
2017-10-13,0.841
2017-10-16,0.3112
2017-10-17,-4.4997
2017-10-18,-0.4219
2017-10-19,0.9887
2017-10-20,0.1399
2017-10-23,9.2179
2017-10-24,5.4987
2017-10-25,-10.9091
2017-10-26,0.8163
2017-10-27,1.0796000000000001
2017-10-30,2.5366999999999997
2017-10-31,-2.474
2017-11-01,1.6021
2017-11-02,2.6281
2017-11-03,2.8169
2017-11-06,9.8381
2017-11-07,-0.3401
2017-11-08,-0.9101
2017-11-09,-1.0333
2017-11-10,-3.4803
2017-11-13,7.0913
2017-11-14,-5.275
2017-11-15,1.5403
2017-11-16,-3.1505
2017-11-17,2.0482
2017-11-20,-2.5974
2017-11-21,1.2121
2017-11-22,0.0
2017-11-24,-2.2754
2017-11-27,2.8186
2017-11-28,-1.6686999999999999
2017-11-29,-0.8485
2017-11-30,-2.0782
2017-12-01,1.2484
2017-12-04,0.0
2017-12-05,0.6165
2017-12-06,0.1225
2017-12-07,-0.4896
2017-12-08,-0.369
2017-12-11,17.037
2017-12-12,-2.5316
2017-12-13,13.7446
2017-12-14,-0.2854
2017-12-15,3.1489
2017-12-18,-1.8500999999999999
2017-12-19,-9.6136
2017-12-20,-0.9385
2017-12-21,1.1579
2017-12-22,0.2081
2017-12-26,-0.2077
2017-12-27,-2.4974
2017-12-28,0.5336
2017-12-29,-4.4586
2018-01-02,0.6667
2018-01-03,-0.1104
2018-01-04,-0.5525
2018-01-05,2.4444
