ticker,UNIT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-04-21,0.0666
2015-04-22,0.7321
2015-04-23,-0.3964
2015-04-24,-5.141
2015-04-27,-3.8112
2015-04-28,7.161
2015-04-29,2.8494
2015-04-30,-0.7916
2015-05-01,-0.3657
2015-05-04,0.634
2015-05-05,0.2653
2015-05-06,-5.5556
2015-05-07,-3.2913
2015-05-08,0.1086
2015-05-11,-0.868
2015-05-12,2.5538
2015-05-13,-1.1028
2015-05-14,0.036
2015-05-15,-1.0068
2015-05-18,-2.4337
2015-05-19,-2.3827
2015-05-20,-2.0214
2015-05-21,3.153
2015-05-22,1.0566
2015-05-26,-1.0829
2015-05-27,-1.359
2015-05-28,-0.5741
2015-05-29,0.2694
2015-06-01,-0.7294
2015-06-02,2.1655
2015-06-03,-1.5897000000000001
2015-06-04,-2.1154
2015-06-05,0.275
2015-06-08,0.3135
2015-06-09,-0.4297
2015-06-10,-0.3923
2015-06-11,1.7724
2015-06-12,1.0836
2015-06-15,-1.6844999999999999
2015-06-16,1.9081000000000001
2015-06-17,0.6114
2015-06-18,0.3418
2015-06-19,1.2112
2015-06-22,2.3186
2015-06-23,0.5482
2015-06-24,-0.3272
2015-06-25,0.6565
2015-06-26,-4.9572
2015-06-29,-3.7611
2015-06-30,-0.4029
2015-07-01,-3.034
2015-07-02,-1.8773
2015-07-06,0.9779
2015-07-07,-2.9053
2015-07-08,-1.9948000000000001
2015-07-09,-0.7522
2015-07-10,3.1654
2015-07-13,0.5618
2015-07-14,0.6446
2015-07-15,1.6225
2015-07-16,1.8487
2015-07-17,-1.5676999999999999
2015-07-20,1.5507
2015-07-21,-3.508
2015-07-22,-4.0205
2015-07-23,-2.3619
2015-07-24,-3.2862
2015-07-27,-2.2652
2015-07-28,0.676
2015-07-29,0.6235
2015-07-30,-0.1907
2015-07-31,-0.4298
2015-08-03,1.6307
2015-08-04,1.3214000000000001
2015-08-05,-1.1178
2015-08-06,0.5181
2015-08-07,-0.3749
2015-08-10,3.5278
2015-08-11,-2.09
2015-08-12,-1.5777
2015-08-13,4.7148
2015-08-14,3.8270999999999997
2015-08-17,0.954
2015-08-18,-0.6014
2015-08-19,-1.599
2015-08-20,-4.3917
2015-08-21,-5.3284
2015-08-24,-4.3668
2015-08-25,0.2537
2015-08-26,2.1761
2015-08-27,2.4269
2015-08-28,-0.3868
2015-08-31,-2.4272
2015-09-01,-0.1493
2015-09-02,1.8435000000000001
2015-09-03,0.1468
2015-09-04,-1.319
