ticker,FDTC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-04-19,0.0
2007-04-20,0.0
2007-04-23,0.0
2007-04-24,0.0
2007-04-25,0.0
2007-04-26,0.0
2007-04-27,3.3333
2007-04-30,0.0
2007-05-02,3.2258
2007-05-03,-3.125
2007-05-04,0.0
2007-05-09,0.0
2007-05-10,-3.2258
2007-05-11,0.0
2007-05-15,0.0
2007-05-17,3.3333
2007-05-21,0.0
2007-05-22,0.0
2007-05-24,0.0
2007-05-25,0.0
2007-05-29,2.5806
2007-05-30,0.6289
2007-05-31,1.875
2007-06-01,2.454
2007-06-04,-1.1976
2007-06-05,0.0
2007-06-08,-3.0303
2007-06-12,-1.25
2007-06-13,1.8987
2007-06-14,2.4845
2007-06-15,1.2121
2007-06-18,0.0
2007-06-19,-4.1916
2007-06-21,0.0
2007-06-26,3.125
2007-06-27,-3.0303
2007-06-28,0.0
2007-06-29,0.0
2007-07-03,0.0
2007-07-05,0.0
2007-07-06,0.0
2007-07-09,0.0
2007-07-10,0.0
2007-07-11,-1.875
2007-07-13,0.6369
2007-07-17,-1.8987
2007-07-18,1.9355
2007-07-19,-0.6329
2007-07-20,-10.828
2007-07-23,7.8571
2007-07-25,0.0
2007-07-26,0.0
2007-07-27,-0.6623
2007-07-30,-3.3333
2007-08-02,0.0
2007-08-10,0.0
2007-08-13,3.4483
2007-08-14,-0.6667
2007-08-16,-2.6846
2007-08-23,1.3793
2007-08-29,-21.7687
2007-08-30,13.0435
2007-08-31,7.6923
2007-09-04,3.5714
2007-09-05,6.8966
2007-09-06,-3.2258
2007-09-07,0.6667
2007-09-10,-0.6623
2007-09-11,0.0
2007-09-12,0.0
2007-09-17,0.0
2007-09-18,0.0
2007-09-21,0.0
2007-09-25,2.0
2007-09-26,1.3072
2007-09-27,3.2258
2007-09-28,1.875
2007-10-01,-1.8405
2007-10-02,-3.125
2007-10-03,1.9355
2007-10-04,-1.2658
2007-10-05,1.2821
2007-10-09,-0.6329
2007-10-10,1.9108
2007-10-11,0.625
2007-10-15,-1.8634
2007-10-16,1.2658
2007-10-19,0.0
2007-10-23,0.0
2007-10-26,0.0
2007-10-29,0.0
2007-10-30,-6.25
2007-10-31,6.6667
2007-11-01,-6.25
2007-11-06,-3.3333
2007-11-07,-3.4483
2007-11-08,3.5714
2007-11-09,3.4483
2007-11-12,3.3333
2007-11-14,-3.2258
2007-11-15,0.0
2007-11-16,0.0
2007-11-20,-3.3333
2007-11-28,3.4483
2007-12-05,2.0
