ticker,SRDX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.875
2000-01-04,-7.5665
2000-01-05,5.7522
2000-01-06,-3.7657
2000-01-07,-3.0435
2000-01-10,-3.1390000000000002
2000-01-11,-2.7778
2000-01-12,-2.8571
2000-01-13,-2.9412000000000003
2000-01-14,1.5152
2000-01-18,6.7164
2000-01-19,-0.6993
2000-01-20,-0.2347
2000-01-21,-4.4706
2000-01-24,0.0
2000-01-25,2.4631
2000-01-26,5.2885
2000-01-27,5.0228
2000-01-28,-1.7391
2000-01-31,0.0
2000-02-01,4.4248
2000-02-02,0.0
2000-02-03,5.0847
2000-02-04,-1.2097
2000-02-07,2.6531000000000002
2000-02-08,1.7893
2000-02-09,1.1719
2000-02-10,3.2819
2000-02-11,-0.1869
2000-02-14,-0.3745
2000-02-15,-0.7519
2000-02-16,-2.2727
2000-02-17,-2.3256
2000-02-18,5.5556
2000-02-22,-1.8797000000000001
2000-02-23,-1.1494
2000-02-24,-10.8527
2000-02-25,1.7391
2000-02-28,2.5641
2000-02-29,3.3333
2000-03-01,1.8145
2000-03-02,4.5545
2000-03-03,-0.3788
2000-03-06,-1.5209000000000001
2000-03-07,1.1583
2000-03-08,-3.8167999999999997
2000-03-09,-3.1746
2000-03-10,4.918
2000-03-13,-3.125
2000-03-14,0.0
2000-03-15,-1.6129
2000-03-16,-1.6393
2000-03-17,0.8333
2000-03-20,-7.0248
2000-03-21,0.4444
2000-03-22,4.4248
2000-03-23,-0.8475
2000-03-24,-1.2821
2000-03-27,1.7316
2000-03-28,-4.6809
2000-03-29,-4.4643
2000-03-30,-2.8037
2000-03-31,5.7692
2000-04-03,-15.9091
2000-04-04,1.6216
2000-04-05,1.0638
2000-04-06,-5.2632
2000-04-07,8.3333
2000-04-10,-3.5897
2000-04-11,0.5319
2000-04-12,-7.9365
2000-04-13,0.5747
2000-04-14,-8.0
2000-04-17,4.3478
2000-04-18,25.0
2000-04-19,-9.5238
2000-04-20,1.0526
2000-04-24,5.2083
2000-04-25,2.4752
2000-04-26,0.0
2000-04-27,0.4831
2000-04-28,-1.9231
2000-05-01,-3.8603
2000-05-02,-6.1823
2000-05-03,-2.1739
2000-05-04,0.0
2000-05-05,8.3333
2000-05-08,-5.3846
2000-05-09,-1.897
2000-05-10,-11.0497
2000-05-11,6.2112
2000-05-12,0.2924
2000-05-15,-4.3732
2000-05-16,4.878
2000-05-17,11.3372
2000-05-18,-8.8773
2000-05-19,-1.4327
2000-05-22,-6.9767
