ticker,ATLS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-02-25,5.3684
2015-02-26,-0.0999
2015-02-27,-4.2
2015-03-02,-5.3236
2015-03-03,-1.9846
2015-03-04,-4.6119
2015-03-05,1.2972000000000001
2015-03-06,-1.7462
2015-03-09,-4.7393
2015-03-10,-2.4876
2015-03-11,4.3367
2015-03-12,-4.0342
2015-03-13,-7.7707
2015-03-16,-10.4972
2015-03-17,-2.3148
2015-03-18,0.6319
2015-03-19,-5.4945
2015-03-20,3.8205999999999998
2015-03-23,0.96
2015-03-24,-2.2187
2015-03-25,0.6483
2015-03-26,1.4493
2015-03-27,-1.9048
2015-03-30,1.2945
2015-03-31,-3.9936
2015-04-01,1.8303
2015-04-02,2.9412000000000003
2015-04-06,4.7619
2015-04-07,3.1818
2015-04-08,-0.2937
2015-04-09,-0.4418
2015-04-10,-0.2959
2015-04-13,-0.7418
2015-04-14,1.7936999999999999
2015-04-15,5.7269
2015-04-16,2.9167
2015-04-17,2.4291
2015-04-20,3.4256
2015-04-21,0.6369
2015-04-22,-0.1266
2015-04-23,-0.1267
2015-04-24,-0.2538
2015-04-27,-2.6718
2015-04-28,-1.1764999999999999
2015-04-29,-0.9259
2015-04-30,3.4713
2015-05-01,0.6452
2015-05-04,0.5128
2015-05-05,0.8929
2015-05-06,-2.5284
2015-05-07,-4.1505
2015-05-08,0.1353
2015-05-11,-3.2432
2015-05-12,0.419
2015-05-13,-1.8081
2015-05-14,0.2833
2015-05-15,-0.565
2015-05-18,-0.142
2015-05-19,-3.9829
2015-05-20,-0.4444
2015-05-21,0.1488
2015-05-22,-0.5944
2015-05-26,-2.3916
2015-05-27,0.7657
2015-05-28,-2.1277
2015-05-29,0.9317
2015-06-01,-0.7692
2015-06-02,0.0
2015-06-03,-3.1008
2015-06-04,-1.12
2015-06-05,0.9709
2015-06-08,3.0449
2015-06-09,-0.4666
2015-06-10,1.25
2015-06-11,0.1543
2015-06-12,-2.0031
2015-06-15,0.6289
2015-06-16,-0.3125
2015-06-17,-0.627
2015-06-18,-1.2618
2015-06-19,-1.5974
2015-06-22,-7.1429
2015-06-23,0.1748
2015-06-24,0.0
2015-06-25,-0.6981
2015-06-26,-4.3937
2015-06-29,-7.7206
2015-06-30,-0.3984
2015-07-01,-7.0
2015-07-02,3.0108
2015-07-06,-7.9332
2015-07-07,-0.6803
2015-07-08,-3.1963
2015-07-09,0.0
2015-07-10,-5.8962
2015-07-13,-0.5013
2015-07-14,14.6096
