ticker,RNBI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-04-05,0.0
2013-07-05,11566.6667
2013-10-17,242.8571
2013-10-28,66.6667
2013-10-29,104.0
2013-11-08,-31.3725
2013-11-22,68.5714
2013-11-25,-17.7966
2013-11-26,1.0309
2013-11-27,0.0
2013-12-02,-8.1633
2013-12-04,-11.1111
2013-12-05,22.5
2013-12-06,-2.0408
2013-12-10,2.0833
2013-12-11,0.0
2013-12-17,-9.1837
2014-01-28,-19.1011
2014-02-21,-2.7778
2014-03-07,-71.4286
2014-03-13,-40.0
2014-03-28,50.0
2014-05-02,22.2222
2014-05-05,172.7273
2014-05-06,0.0
2014-05-07,-57.0
2014-05-08,0.7752
2014-05-09,7.6923
2014-05-12,-7.1429
2014-05-13,3.8462
2014-05-14,36.6667
2014-05-15,26.2873
2014-05-16,-14.1631
2014-05-19,-11.5
2014-05-20,9.428
2014-05-21,5.8406
2014-05-22,8.7805
2014-05-23,-5.3812
2014-05-27,14.218
2014-05-28,20.332
2014-05-29,-2.4138
2014-05-30,-1.0601
2014-06-02,-14.2857
2014-06-03,4.1667
2014-06-04,12.8
2014-06-05,-7.8014
2014-06-06,3.8462
2014-06-09,-1.1574
2014-06-10,-7.0725999999999996
2014-06-11,-11.2903
2014-06-12,-5.5114
2014-06-13,-18.16
2014-06-16,8.1558
2014-06-17,8.6957
2014-06-18,-2.5
2014-06-19,-2.5641
2014-06-20,23.6842
2014-06-23,-1.7021
2014-06-24,-21.645
2014-06-25,-11.6713
2014-06-26,-18.6865
2014-06-27,18.4615
2014-06-30,-9.0909
2014-07-01,-1.4285999999999999
2014-07-02,3.6231999999999998
2014-07-03,-3.4965
2014-07-07,8.786200000000001
2014-07-08,0.0
2014-07-09,6.5779
2014-07-10,-7.5
2014-07-11,3.3784
2014-07-14,-5.2288
2014-07-15,-2.069
2014-07-16,5.6338
2014-07-17,-16.6667
2014-07-18,-3.2
2014-07-21,-7.438
2014-07-22,3.5714
2014-07-23,7.7586
2014-07-24,0.0
2014-07-25,-8.0
2014-07-28,-4.3478
2014-07-29,-18.1818
2014-07-30,-22.0833
2014-07-31,14.082
2014-08-01,0.0
2014-08-04,-12.3437
2014-08-05,-28.6988
2014-08-06,10.0
2014-08-07,0.0
2014-08-08,-0.2273
2014-08-11,9.3394
2014-08-12,0.0
2014-08-13,6.4583
2014-08-14,-10.9589
2014-08-15,-8.5714
2014-08-18,-9.6154
2014-08-19,-4.2553
2014-08-20,0.0
2014-08-21,-18.8889
