ticker,RCAT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-08-29,0.0
2014-09-10,-28.5714
2014-09-11,0.0
2014-09-15,-20.0
2014-09-16,-5.0
2014-09-17,73.6842
2014-09-25,21.2121
2014-09-26,0.0
2014-09-29,0.0
2014-10-01,-37.5
2014-10-06,60.0
2014-10-13,-37.4688
2014-10-14,99.9
2014-10-15,-30.0
2014-10-17,0.0
2014-10-21,14.2857
2014-10-27,62.5
2014-10-29,-21.5385
2014-10-30,-39.2157
2014-11-06,64.5161
2014-11-11,0.0
2014-11-13,-39.2157
2014-11-25,0.0
2014-11-26,12.9032
2014-12-03,-2.8571
2014-12-04,-26.4706
2014-12-09,-8.0
2014-12-10,-8.6957
2014-12-22,9.5238
2014-12-29,-47.8261
2014-12-30,0.0
2014-12-31,0.0
2015-01-27,-16.6667
2015-02-17,100.0
2015-02-18,0.0
2015-02-19,-45.0
2015-02-25,-9.0909
2015-02-26,0.0
2015-02-27,20.0
2015-03-02,0.0
2015-03-03,-25.0
2015-03-04,0.0
2015-03-06,66.6667
2015-03-09,-2.3333
2015-03-13,-4.4369
2015-03-31,-28.5714
2015-04-01,10.0
2015-04-06,-9.0909
2015-04-07,20.0
2015-04-08,8.3333
2015-04-09,0.0
2015-04-13,0.0
2015-04-20,-15.3846
2015-04-22,-13.6364
2015-04-24,0.0
2015-04-28,0.0
2015-05-01,-3.6842
2015-05-08,0.0
2015-05-13,0.0
2015-05-28,0.0
2015-06-03,-12.5683
2015-06-08,12.5
2015-06-11,-11.1111
2015-06-16,0.0
2015-06-30,0.0
2015-07-16,-25.0
2015-07-29,0.0
2015-08-03,0.0
2015-08-06,0.0
2015-08-07,0.0
2015-08-12,-16.6667
2015-08-20,0.0
2015-08-24,0.0
2015-08-26,0.0
2015-08-27,0.0
2015-09-09,0.0
2015-09-14,0.0
2015-09-23,0.0
2015-09-24,0.0
2015-10-19,0.0
2015-11-18,0.0
2015-11-19,0.0
2015-12-07,0.0
2015-12-23,-60.0
2016-01-06,0.0
2016-01-25,0.0
2016-02-17,20.0
2016-02-18,150.0
2016-02-19,0.0
2016-03-03,0.0
2016-03-14,-16.6667
2016-03-23,-40.0
2016-03-28,33.3333
2016-04-01,0.0
2016-04-11,0.0
2016-04-13,0.0
2016-04-26,0.0
2016-05-24,0.0
2016-06-06,0.0
2016-06-16,20.0
2016-06-17,0.0
2016-06-22,4.1667
2016-06-23,-20.0
2016-06-29,25.0
2016-07-05,-20.0
2016-08-18,25.0
