ticker,VPG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-06-24,-4.0
2010-06-25,0.0
2010-06-28,-0.8333
2010-06-29,-1.2605
2010-06-30,-1.2766
2010-07-01,0.431
2010-07-02,-1.7167
2010-07-06,-9.2576
2010-07-07,12.6083
2010-07-08,2.5641
2010-07-09,1.0833
2010-07-12,1.2366
2010-07-13,-4.0717
2010-07-14,-4.1596
2010-07-15,-0.8857
2010-07-16,-1.5192
2010-07-19,1.3612
2010-07-20,1.7905
2010-07-21,1.847
2010-07-22,3.886
2010-07-23,2.8263
2010-07-26,0.6467
2010-07-27,0.0
2010-07-28,2.7309
2010-07-29,-1.0164
2010-07-30,-0.079
2010-08-02,0.9486
2010-08-03,16.6797
2010-08-04,-1.745
2010-08-05,-0.1366
2010-08-06,1.5048
2010-08-09,-0.8086
2010-08-10,-0.2038
2010-08-11,-0.953
2010-08-12,0.2749
2010-08-13,-1.3023
2010-08-16,1.5972
2010-08-17,-0.8886
2010-08-18,8.7586
2010-08-19,-2.9169
2010-08-20,3.1352
2010-08-23,-4.5598
2010-08-24,-3.2515
2010-08-25,-0.1372
2010-08-26,0.8242
2010-08-27,0.6812
2010-08-30,-1.8944999999999999
2010-08-31,-0.069
2010-09-01,4.9689
2010-09-02,-0.789
2010-09-03,4.3738
2010-09-07,0.6349
2010-09-08,-4.0379
2010-09-09,0.1972
2010-09-10,-1.4436
2010-09-13,5.526
2010-09-14,-0.8833
2010-09-15,-0.2546
2010-09-16,-2.9355
2010-09-17,-0.3287
2010-09-20,0.3298
2010-09-21,-0.3945
2010-09-22,-2.3762
2010-09-23,1.0818
2010-09-24,-0.6689
2010-09-27,1.3468
2010-09-28,3.3887
2010-09-29,0.1285
2010-09-30,0.1926
2010-10-01,0.3844
2010-10-04,0.0638
2010-10-05,0.7653
2010-10-06,-1.8354
2010-10-07,-0.5803
2010-10-08,-0.1946
2010-10-11,0.3249
2010-10-12,1.101
2010-10-13,6.2780000000000005
2010-10-14,-0.9042
2010-10-15,2.5547
2010-10-18,2.3132
2010-10-19,-0.7536
2010-10-20,1.6355
2010-10-21,0.1724
2010-10-22,0.5164
2010-10-25,0.0
2010-10-26,-1.5411000000000001
2010-10-27,0.4638
2010-10-28,-1.7311
2010-10-29,-0.1762
2010-11-01,-0.2941
2010-11-02,0.236
2010-11-03,0.0589
2010-11-04,-0.1176
2010-11-05,0.2356
2010-11-08,-0.8226
2010-11-09,-3.91
2010-11-10,0.6782
2010-11-11,-1.4085
