ticker,NEXA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-10-27,8.75
2017-10-30,3.7356
2017-10-31,0.6648
2017-11-01,-0.3302
2017-11-02,0.0
2017-11-03,-0.0552
2017-11-06,-0.442
2017-11-07,-1.7758
2017-11-08,-0.7345
2017-11-09,-2.2766
2017-11-10,-0.5242
2017-11-13,-2.9859
2017-11-14,-3.44
2017-11-15,-1.25
2017-11-16,-1.0127
2017-11-17,1.2788
2017-11-20,1.0732
2017-11-21,1.1868
2017-11-22,0.4938
2017-11-24,2.1499
2017-11-27,-2.1648
2017-11-28,4.3024000000000004
2017-11-29,-2.0625
2017-11-30,4.6931
2017-12-01,-0.8621
2017-12-04,-0.4058
2017-12-05,-1.0477
2017-12-06,-2.5294
2017-12-07,0.0604
2017-12-08,-0.8444
2017-12-11,2.1898
2017-12-12,0.4762
2017-12-13,-1.2441
2017-12-14,0.24
2017-12-15,1.137
2017-12-18,2.5444
2017-12-19,-0.0577
2017-12-20,3.06
2017-12-21,3.9776
2017-12-22,2.4246
2017-12-26,2.1042
2017-12-27,-1.5455999999999999
2017-12-28,2.1978
2017-12-29,0.4096
2018-01-02,2.1418
2018-01-03,0.3495
2018-01-04,-0.4975
2018-01-05,-0.5
2018-01-08,0.5025
2018-01-09,-0.25
2018-01-10,1.5038
2018-01-11,-1.2346
2018-01-12,1.25
2018-01-16,0.7901
2018-01-17,-0.5879
2018-01-18,-0.1971
2018-01-19,-0.6914
2018-01-22,0.4973
2018-01-23,-0.5443
2018-01-24,2.9851
2018-01-25,-1.1594
2018-01-26,1.3685
2018-01-29,1.5429
2018-01-30,-1.9468
2018-01-31,0.2421
2018-02-01,0.7246
2018-02-02,-5.7554
2018-02-05,-1.1705
2018-02-06,1.2873
2018-02-07,-3.2537
2018-02-08,-2.3647
2018-02-09,-1.6684999999999999
2018-02-12,0.6568
2018-02-13,0.87
2018-02-14,2.3181
2018-02-15,1.4752
2018-02-16,3.3229
2018-02-20,3.2663
2018-02-21,-2.7251
2018-02-22,-0.2001
2018-02-23,-2.6065
2018-02-26,1.9043
2018-02-27,0.5556
2018-02-28,2.9633000000000003
2018-03-01,0.8293
2018-03-02,-0.9676
2018-03-05,-2.4915
2018-03-06,1.2525
2018-03-07,-0.5443
2018-03-08,-0.8955
2018-03-09,0.0502
2018-03-12,-0.3512
2018-03-13,-1.3089
2018-03-14,1.9474
2018-03-15,0.5679
2018-03-16,1.8994
2018-03-19,-3.3753
2018-03-20,-1.9811999999999999
