ticker,NDDG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-03-05,900.0
2014-08-06,-69.0
2014-08-07,93.5484
2014-08-11,-8.3333
2014-08-12,1.8182
2014-08-13,16.0714
2014-08-14,12.3077
2014-08-15,8.2192
2014-08-18,-3.7975
2014-08-19,5.2632
2014-08-20,2.5
2014-08-21,2.439
2014-08-22,1.1905000000000001
2014-08-25,2.3529
2014-08-26,-1.7241
2014-08-28,0.5848
2014-08-29,4.6512
2014-09-02,8.8889
2014-09-03,12.2449
2014-09-04,-0.9091
2014-09-05,-8.2569
2014-09-08,-18.0
2014-09-09,7.3171
2014-09-10,4.5455
2014-09-11,-4.8913
2014-09-12,0.5714
2014-09-15,-4.5455
2014-09-16,4.7619
2014-09-17,10.2131
2014-09-18,0.9408
2014-09-19,-1.9407999999999999
2014-09-22,-1.9792
2014-09-23,3.0685000000000002
2014-09-24,4.1371
2014-09-25,-0.9901
2014-09-26,2.0
2014-09-29,-6.8627
2014-09-30,-2.1184
2014-10-20,7.5413
2014-11-12,-99.0
2014-12-15,-98.75
2014-12-16,79900.0
2017-06-14,-99.9
2018-04-24,9900.0
2018-09-17,-99.9
2019-01-24,900.0
2019-12-11,0.0
2020-07-06,100.0
