ticker,FND US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-04-27,52.619
2017-04-28,1.092
2017-05-01,3.5185
2017-05-02,-0.0894
2017-05-03,8.5049
2017-05-04,1.5676999999999999
2017-05-05,-0.5416
2017-05-08,-3.3487999999999998
2017-05-09,1.7183000000000002
2017-05-10,1.8277
2017-05-11,-0.1088
2017-05-12,1.5791
2017-05-15,1.6080999999999999
2017-05-16,-3.4028
2017-05-17,-0.9285
2017-05-18,2.6736
2017-05-19,-0.5369
2017-05-22,-2.0783
2017-05-23,3.0871
2017-05-24,-0.4545
2017-05-25,2.4443
2017-05-26,11.1169
2017-05-30,-7.4799
2017-05-31,-1.2752
2017-06-01,2.945
2017-06-02,0.3764
2017-06-05,3.75
2017-06-06,-2.7229
2017-06-07,0.7431
2017-06-08,1.4999
2017-06-09,-0.436
2017-06-12,-4.0633
2017-06-13,0.4058
2017-06-14,3.0311
2017-06-15,-0.711
2017-06-16,-0.1975
2017-06-19,6.7293
2017-06-20,1.7617
2017-06-21,5.4897
2017-06-22,-3.8868
2017-06-23,-6.7401
2017-06-26,5.9745
2017-06-27,-1.3867
2017-06-28,-2.674
2017-06-29,-3.6002
2017-06-30,-3.5381
2017-07-03,-2.3688000000000002
2017-07-05,-1.1218
2017-07-06,1.6886999999999999
2017-07-07,2.7504
2017-07-10,-2.9293
2017-07-11,-0.8325
2017-07-12,-0.3673
2017-07-13,0.3423
2017-07-14,3.4112
2017-07-17,0.1522
2017-07-18,-0.9121
2017-07-19,4.7302
2017-07-20,-6.0059
2017-07-21,-2.8571
2017-07-24,1.2833999999999999
2017-07-25,1.8215
2017-07-26,-2.5408
2017-07-27,1.3567
2017-07-28,-6.7192
2017-07-31,-2.5886
2017-08-01,0.9532
2017-08-02,-3.8627000000000002
2017-08-03,0.8631
2017-08-04,1.6229
2017-08-07,1.626
2017-08-08,-0.1714
2017-08-09,0.2862
2017-08-10,-2.1975
2017-08-11,5.4567
2017-08-14,-1.3558
2017-08-15,-4.6003
2017-08-16,0.8821
2017-08-17,0.0291
2017-08-18,-3.0012
2017-08-21,-1.0213
2017-08-22,2.9135
2017-08-23,-0.2064
2017-08-24,1.3593
2017-08-25,-0.4082
2017-08-28,4.2155
2017-08-29,0.8989
2017-08-30,-1.9487999999999999
2017-08-31,2.0443
2017-09-01,0.0556
2017-09-05,2.0578
2017-09-06,3.406
2017-09-07,3.6364
2017-09-08,2.1866
2017-09-11,-0.3732
2017-09-12,-0.1998
2017-09-13,0.0501
