ticker,HPTN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-08-15,-75.0
2012-09-07,400.0
2012-09-17,60.0
2012-09-28,400.0
2012-10-17,50.0
2012-11-05,20.0
2012-11-06,0.0
2012-11-07,2.7778
2012-12-12,14.8649
2012-12-21,-1.1764999999999999
2013-01-02,16.6667
2013-01-08,7.1429
2013-01-09,20.0
2013-01-10,-4.4444
2013-01-11,19.7674
2013-01-14,0.0
2013-01-15,11.6505
2013-01-16,2.6087
2013-01-17,1.6949
2013-01-18,12.5
2013-01-22,3.7037
2013-01-23,3.5714
2013-01-24,3.4483
2013-01-25,1.3333
2013-01-28,1.9737
2013-01-29,1.9355
2013-01-30,3.1646
2013-01-31,5.5215
2013-02-01,4.6512
2013-02-04,-1.6667
2013-02-05,6.2147
2013-02-06,4.2553
2013-02-07,12.2449
2013-02-08,6.8182
2013-02-11,-0.8511
2013-02-12,0.0
2013-02-13,0.8584
2013-02-14,2.1277
2013-02-15,0.0
2013-02-19,3.3333
2013-02-20,0.0
2013-02-21,2.8226
2013-02-22,0.7843
2013-02-25,3.1128
2013-02-26,1.1320999999999999
2013-02-27,-0.3731
2013-02-28,0.3745
2013-03-01,0.7463
2013-03-04,0.3704
2013-03-06,-11.0701
2013-03-07,0.0
2013-03-08,0.0
2013-03-13,-1.2448
2013-03-15,0.8403
2013-03-18,2.0833
2013-03-19,2.0408
2013-03-20,-4.0
2013-03-21,0.0
2013-03-26,0.0
2013-03-27,-2.0833
2013-04-01,0.0
2013-04-02,2.1277
2013-04-03,2.0833
2013-04-05,-2.0408
2013-04-10,0.0
2013-04-11,2.5
2013-04-12,3.6585
2013-04-15,0.0
2013-04-16,2.7451
2013-04-17,-4.5802
2013-04-18,-2.0
2013-04-19,-6.1224
2013-04-22,15.2174
2013-04-23,2.2641999999999998
2013-04-24,1.476
2013-04-25,1.8182
2013-04-26,2.5
2013-04-29,0.3484
2013-04-30,4.1667
2013-05-01,7.3333
2013-05-02,0.9317
2013-05-03,0.0
2013-05-06,0.0
2013-05-07,6.7692
2013-05-08,0.0
2013-05-09,2.0173
2013-05-13,-0.565
2013-05-14,0.5682
2013-05-15,0.2825
2013-05-17,2.8169
2013-05-20,0.0
2013-05-21,0.0
2013-05-22,0.0
2013-05-24,-0.274
2013-05-28,-0.5495
2013-05-29,0.8287
2013-05-31,4.1096
2013-06-03,9.2105
2013-06-04,-1.2048
2013-06-05,2.439
2013-06-06,-0.7143
2013-06-07,0.2398
2013-06-10,2.8708
