ticker,CSGS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,5.1724
2000-01-04,-2.3845
2000-01-05,-0.3053
2000-01-06,-5.0536
2000-01-07,-0.8065
2000-01-10,8.2927
2000-01-11,-4.3544
2000-01-12,-1.2559
2000-01-13,10.6518
2000-01-14,2.5862
2000-01-18,6.4426
2000-01-19,0.2632
2000-01-20,1.8373
2000-01-21,-1.933
2000-01-24,-7.3587
2000-01-25,-4.1135
2000-01-26,-3.2544
2000-01-27,0.0
2000-01-28,-4.7401
2000-01-31,-2.8891999999999998
2000-02-01,10.4132
2000-02-02,1.3473
2000-02-03,0.1477
2000-02-04,-0.885
2000-02-07,-1.7856999999999998
2000-02-08,1.5152
2000-02-09,-0.4478
2000-02-10,3.5982
2000-02-11,1.3025
2000-02-14,-0.5714
2000-02-15,0.0
2000-02-16,7.0402
2000-02-17,7.9195
2000-02-18,-3.4826
2000-02-22,-3.4794
2000-02-23,2.0027
2000-02-24,-3.4031000000000002
2000-02-25,0.4065
2000-02-28,3.5088
2000-02-29,7.1708
2000-03-01,1.2165
2000-03-02,10.336500000000001
2000-03-03,1.8519
2000-03-06,1.6042999999999998
2000-03-07,4.3158
2000-03-08,-3.5318
2000-03-09,4.1579
2000-03-10,-1.7826
2000-03-13,5.8282
2000-03-14,-7.5362
2000-03-15,11.9122
2000-03-16,-3.4547
2000-03-17,14.0232
2000-03-20,-10.6022
2000-03-21,-6.2619
2000-03-22,5.4656
2000-03-23,0.9597
2000-03-24,-0.9506
2000-03-27,2.1113
2000-03-28,-6.8609
2000-03-29,-11.2008
2000-03-30,-9.3182
2000-03-31,-2.1303
2000-04-03,3.3291
2000-04-04,-3.4696
2000-04-05,10.6547
2000-04-06,8.7007
2000-04-07,2.4546
2000-04-10,-5.4167
2000-04-11,-5.5066
2000-04-12,-7.8088999999999995
2000-04-13,-1.2642
2000-04-14,-6.37
2000-04-17,0.9231
2000-04-18,22.4932
2000-04-19,-7.9646
2000-04-20,-3.6058
2000-04-24,-4.3641
2000-04-25,10.0391
2000-04-26,-10.4265
2000-04-27,-2.1164
2000-04-28,-0.2703
2000-05-01,-2.439
2000-05-02,-3.6111
2000-05-03,-0.8646
2000-05-04,0.5814
2000-05-05,-0.289
2000-05-08,-2.4638
2000-05-09,2.8232
2000-05-10,-5.4913
2000-05-11,11.0092
2000-05-12,3.5813
2000-05-15,-3.5904
2000-05-16,2.7586
2000-05-17,0.4027
2000-05-18,6.5508
2000-05-19,-2.3839
