ticker,ALEC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-02-07,-5.2632
2019-02-08,-9.4444
2019-02-11,5.3988
2019-02-12,1.8626
2019-02-13,4.2857
2019-02-14,3.0137
2019-02-15,5.2128
2019-02-19,4.8027999999999995
2019-02-20,0.9165
2019-02-21,2.3423
2019-02-22,5.0911
2019-02-25,-4.3111
2019-02-26,-4.2267
2019-02-27,-3.3948
2019-02-28,-1.6566
2019-03-01,7.1975
2019-03-04,-0.6667
2019-03-05,0.767
2019-03-06,-7.2312
2019-03-07,-9.2308
2019-03-08,-6.1582
2019-03-11,-3.8531
2019-03-12,4.0701
2019-03-13,-1.3237
2019-03-14,5.7927
2019-03-15,4.0346
2019-03-18,4.2105
2019-03-19,2.3923
2019-03-20,-1.8692
2019-03-21,-2.0106
2019-03-22,-2.5378
2019-03-25,7.4238
2019-03-26,-0.1547
2019-03-27,-8.4194
2019-03-28,1.7484
2019-03-29,3.7694
2019-04-01,5.8225999999999996
2019-04-02,7.4205
2019-04-03,4.7932
2019-04-04,4.9327
2019-04-05,2.8205
2019-04-08,7.1072
2019-04-09,-8.8863
2019-04-10,2.9813
2019-04-11,0.9098
2019-04-12,8.2787
2019-04-15,-6.5481
2019-04-16,0.8505
2019-04-17,-13.5341
2019-04-18,4.366
2019-04-22,-4.7619
2019-04-23,-0.8411
2019-04-24,1.7436
2019-04-25,-0.5095
2019-04-26,-0.5587
2019-04-29,-3.0899
2019-04-30,-4.058
2019-05-01,-0.7049
2019-05-02,3.9554
2019-05-03,-2.9756
2019-05-06,1.8601999999999999
2019-05-07,-7.5024999999999995
2019-05-08,8.5912
2019-05-09,-2.1622
2019-05-10,0.7032
2019-05-13,-1.1471
2019-05-14,6.1554
2019-05-15,3.7548
2019-05-16,-3.9395
2019-05-17,-3.1474
2019-05-20,-3.4466
2019-05-21,0.6629
2019-05-22,-1.0638
2019-05-23,-2.8162000000000003
2019-05-24,2.7397
2019-05-28,-3.3846
2019-05-29,-5.1486
2019-05-30,-2.9099
2019-05-31,-2.536
2019-06-03,-3.8439
2019-06-04,4.428
2019-06-05,-1.0012
2019-06-06,0.8923
2019-06-07,2.2995
2019-06-10,9.5101
2019-06-11,6.6842
2019-06-12,-0.8387
2019-06-13,3.1343
2019-06-14,-2.7496
2019-06-17,0.9425
2019-06-18,-4.0295
2019-06-19,-2.0993
2019-06-20,-4.1318
2019-06-21,-0.7092
2019-06-24,0.1648
2019-06-25,-2.249
2019-06-26,-1.7957
2019-06-27,2.8
