ticker,FMCB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-26,-0.4969
2000-02-10,4.8689
2000-05-05,-20.0
2000-05-08,31.25
2000-05-11,0.0
2000-05-12,-23.8095
2000-05-19,31.25
2000-09-01,0.8888
2000-09-26,-7.1429
2000-10-03,0.0
2000-10-13,0.0
2000-10-25,0.0
2000-10-27,0.0
2000-11-08,7.6923
2000-11-29,-4.2857
2000-11-30,21.8905
2000-12-07,-13.4694
2000-12-28,1.1505
2001-02-16,3.3175
2001-03-22,0.4587
2001-03-30,-1.3699
2001-04-02,6.4815
2001-05-21,0.4348
2001-05-23,0.0
2001-05-24,0.0
2001-06-04,4.5455
2001-06-13,6.5217
2001-06-14,2.8367
2001-07-10,-9.6
2001-07-11,2.2124
2001-07-16,0.8658
2001-08-01,0.0
2001-08-24,7.2961
2001-09-28,-6.8
2001-10-12,7.2961
2001-10-19,0.0
2002-01-02,5.4767
2002-01-07,-3.8462
2002-01-17,3.8
2002-02-14,-3.4682
2002-02-15,3.5928
2002-02-26,0.1927
2002-04-25,11.0577
2002-04-26,-6.1818
2002-04-29,12.4031
2002-05-16,-13.7931
2002-05-20,0.0
2002-05-21,28.0
2002-05-22,-21.875
2002-05-24,28.0
2002-05-28,-21.875
2002-05-29,0.0
2002-06-05,0.0
2002-07-03,25.0
2002-07-12,-3.2258
2002-07-16,-5.0
2002-07-24,6.6667
2002-08-01,-9.5395
2002-08-23,0.0
2002-08-26,0.0
2002-08-27,0.0
2002-08-28,9.0909
2002-09-12,-8.3333
2002-10-11,9.0909
2002-10-25,-5.0
2002-12-02,-5.2632
2002-12-04,7.4074
2002-12-11,-5.1724
2002-12-16,10.1818
2003-01-02,0.0
2003-02-20,-11.2876
2003-02-21,13.1008
2003-02-26,-5.0
2003-04-15,10.482099999999999
2003-04-25,-24.97
2003-05-12,11.1111
2003-05-13,21.2
2003-05-14,-14.1914
2003-05-16,0.0
2003-05-19,0.0
2003-05-27,17.3077
2003-06-17,-9.211
2003-06-25,3.6364
2003-06-27,6.6667
2003-07-07,3.2895
2003-07-10,0.3185
2003-07-11,-5.7143
2003-07-15,2.6936
2003-07-28,-1.6393
2003-08-06,0.0
2003-09-04,10.0
2003-09-24,-1.5152
2003-11-12,15.3846
2004-01-13,-9.4769
2004-01-14,5.7334
2004-01-15,2.8169
2004-01-16,0.0
2004-01-22,-1.3699
2004-02-04,4.1667
2004-02-05,2.6667
2004-02-17,-3.8961
2004-02-24,1.3514
2004-02-25,0.0
