ticker,AMSC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,5.5804
2000-01-04,-5.2854
2000-01-05,-0.6696
2000-01-06,0.0
2000-01-07,3.3708
2000-01-10,-0.8696
2000-01-11,-2.4123
2000-01-12,-6.9663
2000-01-13,14.0097
2000-01-14,-3.8136
2000-01-18,1.5419
2000-01-19,6.2907
2000-01-20,2.449
2000-01-21,10.757
2000-01-24,-8.0935
2000-01-25,-6.0665
2000-01-26,5.0
2000-01-27,-4.7619
2000-01-28,-10.0
2000-01-31,-1.3889
2000-02-01,1.8779
2000-02-02,0.0
2000-02-03,3.2258
2000-02-04,-1.3393
2000-02-07,0.4525
2000-02-08,8.1081
2000-02-09,4.375
2000-02-10,4.99
2000-02-11,-2.4715
2000-02-14,0.0
2000-02-15,0.1949
2000-02-16,13.035
2000-02-17,18.0723
2000-02-18,1.1662
2000-02-22,14.121
2000-02-23,23.7374
2000-02-24,-3.8776
2000-02-25,5.9448
2000-02-28,11.022
2000-02-29,-0.2708
2000-03-01,-9.0498
2000-03-02,5.0746
2000-03-03,-4.5455
2000-03-06,-9.3254
2000-03-07,-12.4179
2000-03-08,-5.0593
2000-03-09,1.7105000000000001
2000-03-10,-5.8215
2000-03-13,-3.1593
2000-03-14,-6.0993
2000-03-15,-11.4804
2000-03-16,12.4573
2000-03-17,7.739
2000-03-20,-10.1408
2000-03-21,5.9561
2000-03-22,23.6686
2000-03-23,-4.3062000000000005
2000-03-24,-2.75
2000-03-27,6.6838
2000-03-28,-10.1205
2000-03-29,-3.6193
2000-03-30,-3.7552
2000-03-31,2.8902
2000-04-03,-17.9775
2000-04-04,-10.9589
2000-04-05,-1.1538
2000-04-06,4.4747
2000-04-07,3.5382
2000-04-10,-8.812899999999999
2000-04-11,-19.1321
2000-04-12,3.9024
2000-04-13,8.9202
2000-04-14,-24.1379
2000-04-17,-1.1364
2000-04-18,20.6897
2000-04-19,-1.25
2000-04-20,2.7125
2000-04-24,7.9812
2000-04-25,18.6957
2000-04-26,0.5495
2000-04-27,8.9253
2000-04-28,2.1739
2000-05-01,3.1097
2000-05-02,-4.6032
2000-05-03,-13.4775
2000-05-04,-0.7692
2000-05-05,3.6822
2000-05-08,-8.0374
2000-05-09,-3.252
2000-05-10,-13.8655
2000-05-11,15.6098
2000-05-12,0.0
2000-05-15,13.5021
2000-05-16,-3.7175000000000002
2000-05-17,-2.8958
2000-05-18,-5.169
2000-05-19,-2.5157
2000-05-22,-2.3656
2000-05-23,0.4405
