ticker,GROG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-09-02,0.0
2014-09-03,0.9804
2014-09-04,4.8544
2014-09-16,11.1111
2014-10-20,-8.3333
2014-10-27,-23.6364
2014-11-04,19.0476
2015-02-18,48.0
2015-02-19,1.3514
2015-02-24,-20.0
2015-02-25,10.0
2015-02-26,-4.5455
2015-02-27,7.9365
2015-03-02,-6.0294
2015-03-03,7.9617
2015-03-04,10.8897
2015-03-05,13.7255
2015-03-06,-9.3966
2015-03-09,-12.4643
2015-03-10,-5.7971
2015-03-11,3.0769
2015-03-12,9.7015
2015-03-13,4.0816
2015-03-16,7.1895
2015-03-17,1.8293
2015-03-18,10.7784
2015-03-19,3.2432
2015-03-20,-14.1361
2015-03-23,0.0
2015-03-24,-2.439
2015-03-25,7.5
2015-03-26,-1.1628
2015-03-27,-3.5294
2015-03-30,-9.7561
2015-03-31,-8.1081
2015-04-01,16.1765
2015-04-02,1.2658
2015-04-06,5.25
2015-04-07,12.8266
2015-04-08,2.1053
2015-04-09,7.2165
2015-04-10,-16.3462
2015-04-13,-2.2989
2015-04-14,-27.0588
2015-04-15,-20.1613
2015-04-16,3.0303
2015-04-17,17.647100000000002
2015-04-20,-6.6667
2015-04-21,-10.0
2015-04-22,-0.7937
2015-04-23,-8.0
2015-04-24,1.0598
2015-04-27,0.0269
2015-04-28,6.5591
2015-04-29,7.9717
2015-04-30,-1.8692
2015-05-01,-2.3810000000000002
2015-05-04,-6.3415
2015-05-05,-6.25
2015-05-06,1.1111
2015-05-07,4.3956
2015-05-08,1.0526
2015-05-11,-13.5417
2015-05-12,-8.4337
2015-05-13,0.0
2015-05-14,7.5
2015-05-15,2.0196
2015-05-18,4.3791
2015-05-19,1.1494
2015-05-20,3.4091
2015-05-21,-3.2967
2015-05-22,-5.6818
2015-05-26,-6.0241
2015-05-27,6.4103
2015-05-28,-3.6145
2015-05-29,0.0
2015-06-01,11.25
2015-06-02,-5.618
2015-06-03,-4.7619
2015-06-04,0.0
2015-06-05,2.25
2015-06-08,6.3264
2015-06-09,-3.4205
2015-06-10,1.1905000000000001
2015-06-11,0.0294
2015-06-12,-2.3522
2015-06-15,1.7766
2015-06-16,-1.7751000000000001
2015-06-17,-1.2048
2015-06-18,-0.2439
2015-06-19,-7.0905
2015-06-22,-13.1908
2015-06-23,-12.0879
2015-06-24,-3.4483
2015-06-25,-3.5714
2015-06-26,-7.4074
2015-06-29,-2.0
2015-06-30,-10.2041
2015-07-01,-22.7273
