ticker,AUDC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.8913
2000-01-04,-18.2857
2000-01-05,0.8741
2000-01-06,0.6932
2000-01-07,-0.5164
2000-01-10,2.5952
2000-01-11,-4.2159
2000-01-12,-9.1549
2000-01-13,8.7209
2000-01-14,14.082
2000-01-18,-0.625
2000-01-19,1.7296
2000-01-20,-2.3184
2000-01-21,-6.1709
2000-01-24,-8.2631
2000-01-25,-7.9044
2000-01-26,0.998
2000-01-27,-1.581
2000-01-28,-5.2209
2000-01-31,-5.2966
2000-02-01,2.0134
2000-02-02,13.5965
2000-02-03,0.3861
2000-02-04,-2.6923
2000-02-07,-0.3953
2000-02-08,-1.7856999999999998
2000-02-09,1.4141
2000-02-10,18.2271
2000-02-11,9.1828
2000-02-14,-1.929
2000-02-15,0.4721
2000-02-16,-2.2709
2000-02-17,-0.4808
2000-02-18,-0.8052
2000-02-22,-0.6494
2000-02-23,-0.6536
2000-02-24,0.0
2000-02-25,1.8092000000000001
2000-02-28,-1.9386
2000-02-29,1.8122
2000-03-01,8.1715
2000-03-02,5.3104
2000-03-03,8.0256
2000-03-06,42.1433
2000-03-07,-3.5615
2000-03-08,1.295
2000-03-09,5.8239
2000-03-10,5.5928
2000-03-13,-5.9322
2000-03-14,-1.4414
2000-03-15,-8.958
2000-03-16,2.008
2000-03-17,0.9843
2000-03-20,-3.8012
2000-03-21,-16.1094
2000-03-22,2.7778
2000-03-23,-1.2338
2000-03-24,-2.7960000000000003
2000-03-27,-0.3672
2000-03-28,27.7641
2000-03-29,8.2692
2000-03-30,-27.2647
2000-03-31,-1.9536
2000-04-03,-2.8643
2000-04-04,-8.7179
2000-04-05,16.7135
2000-04-06,5.5355
2000-04-07,6.0433
2000-04-10,4.2473
2000-04-11,-2.9912
2000-04-12,-24.2956
2000-04-13,-14.6067
2000-04-14,-21.0526
2000-04-17,3.3333
2000-04-18,24.0927
2000-04-19,-0.6499
2000-04-20,-8.749
2000-04-24,-10.2151
2000-04-25,15.1697
2000-04-26,0.5199
2000-04-27,3.6207000000000003
2000-04-28,-0.1664
2000-05-01,4.0
2000-05-02,-5.1282
2000-05-03,-6.5878
2000-05-04,4.1591
2000-05-05,0.0
2000-05-08,-8.3333
2000-05-09,-3.7879
2000-05-10,-13.189
2000-05-11,13.3787
2000-05-12,6.4
2000-05-15,-4.2293
2000-05-16,-0.2944
2000-05-17,-2.3622
2000-05-18,-4.9395
2000-05-19,-13.4677
2000-05-22,5.2696
