ticker,WESC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-03-30,30.0
2007-04-03,-23.0769
2007-04-10,40.0
2007-05-07,-25.0
2007-05-08,0.0
2007-05-10,0.0
2007-05-11,4.7619
2007-05-14,0.0
2007-05-15,9.0909
2007-05-16,5.0
2007-05-17,0.0
2007-05-18,0.7937
2007-05-21,2.3622
2007-05-22,6.9231
2007-05-23,-2.8777
2007-05-24,1.4815
2007-05-25,8.0292
2007-05-29,-2.027
2007-05-30,1.3793
2007-05-31,-28.5714
2007-06-01,1.9048
2007-06-04,2.8037
2007-06-05,0.9091
2007-06-06,3.6036
2007-06-07,1.7391
2007-06-08,-5.9829
2007-06-11,3.6364
2007-06-12,14.9123
2007-06-13,10.687
2007-06-14,0.6897
2007-06-15,-1.3699
2007-06-18,2.7778
2007-06-19,-2.027
2007-06-20,3.4483
2007-06-21,-0.6667
2007-06-22,-1.3423
2007-06-25,-1.3605
2007-06-26,2.069
2007-06-27,0.0
2007-06-28,-0.6757
2007-06-29,0.0
2007-07-02,-11.5646
2007-07-03,10.7692
2007-07-05,4.1667
2007-07-06,2.6667
2007-07-09,-1.9481000000000002
2007-07-10,0.0
2007-07-11,0.6623
2007-07-12,0.0
2007-07-13,1.3158
2007-07-16,-1.9481000000000002
2007-07-17,0.6623
2007-07-18,1.3158
2007-07-19,-1.2987
2007-07-20,0.6579
2007-07-23,-0.6536
2007-07-24,3.9474
2007-07-25,-1.2658
2007-07-26,1.2821
2007-07-27,1.2658
2007-07-30,-0.625
2007-07-31,0.6289
2007-08-01,1.25
2007-08-02,-3.7037
2007-08-03,0.5128
2007-08-06,-1.4668
2007-08-07,1.2945
2007-08-08,-2.8754
2007-08-09,-3.2895
2007-08-10,-2.0408
2007-08-13,-2.7778
2007-08-14,0.7143
2007-08-15,0.0
2007-08-16,0.7092
2007-08-17,-1.4085
2007-08-20,15.0
2007-08-21,-24.2236
2007-08-22,-0.8197
2007-08-23,0.8264
2007-08-24,-0.8197
2007-08-27,-0.8264
2007-08-28,-33.3333
2007-08-30,-36.25
2007-09-05,0.0
2007-10-11,-60.7843
2007-11-27,-60.0
2008-02-14,87.5
2008-11-19,-66.6667
2009-01-13,-60.0
2009-01-21,-75.0
2009-01-23,97.5
2009-01-26,1.2658
2009-06-22,200.0
2009-08-17,1833.3333
2009-08-25,0.0
2009-09-01,0.0
2009-09-17,-12.069
2010-09-02,-80.3922
2010-11-19,-85.0
2010-11-29,566.6667
2011-02-28,0.0
2011-04-18,0.0
