ticker,AXLA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-05-09,-31.0
2019-05-10,0.8696
2019-05-13,0.2155
2019-05-14,1.0036
2019-05-15,-2.4131
2019-05-16,0.8727
2019-05-17,-0.5047
2019-05-20,1.8841
2019-05-21,2.4182
2019-05-22,-0.8333
2019-05-23,-1.9607999999999999
2019-05-24,1.2857
2019-05-28,0.141
2019-05-29,-3.4507
2019-05-30,3.574
2019-05-31,0.493
2019-06-03,3.5039
2019-06-04,1.2187000000000001
2019-06-05,-0.2007
2019-06-06,-3.4853
2019-06-07,-1.5972
2019-06-10,-6.9866
2019-06-11,-2.352
2019-06-12,-1.9425
2019-06-13,1.5848
2019-06-14,-14.5086
2019-06-17,-9.2153
2019-06-18,-1.3065
2019-06-19,2.8513
2019-06-20,-0.198
2019-06-21,-1.2897
2019-06-24,-0.201
2019-06-25,-7.3515
2019-06-26,-7.5
2019-06-27,7.168
2019-06-28,2.0833
2019-07-01,-6.5521
2019-07-02,0.5747
2019-07-03,3.3143000000000002
2019-07-05,2.4336
2019-07-08,-5.0756
2019-07-09,-7.281
2019-07-10,1.9632
2019-07-11,-1.2034
2019-07-12,-3.8977
2019-07-15,0.1267
2019-07-16,-0.2532
2019-07-17,-1.3959
2019-07-18,4.3758
2019-07-19,-4.9322
2019-07-22,-4.5396
2019-07-23,2.1739
2019-07-24,-2.6596
2019-07-25,2.1858
2019-07-26,8.0214
2019-07-29,2.4752
2019-07-30,-0.8454
2019-07-31,3.2887
2019-08-01,-16.6274
2019-08-02,4.9505
2019-08-05,-4.5822
2019-08-06,9.4633
2019-08-07,-3.2258
2019-08-08,0.8
2019-08-09,-3.9683
2019-08-12,-3.5813
2019-08-13,9.7143
2019-08-14,3.3854
2019-08-15,-4.2821
2019-08-16,4.0789
2019-08-19,0.3793
2019-08-20,-0.2519
2019-08-21,2.399
2019-08-22,-3.5758
2019-08-23,-0.3836
2019-08-26,1.4121000000000001
2019-08-27,-1.0759
2019-08-28,-1.0877
2019-08-29,-7.3739
2019-08-30,-3.2123
2019-09-03,1.0101
2019-09-04,3.4286
2019-09-05,-4.6961
2019-09-06,4.3478
2019-09-09,0.0
2019-09-10,-1.3889
2019-09-11,-3.5211
2019-09-12,0.7299
2019-09-13,-2.029
2019-09-16,0.1479
2019-09-17,-5.4653
2019-09-18,-3.2813
2019-09-19,0.1616
2019-09-20,1.4516
2019-09-23,-5.4054
2019-09-24,-8.0672
2019-09-25,-1.2797
2019-09-26,-1.6667
