ticker,RAEWF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-05-13,-11.0368
2010-05-14,0.0
2010-05-18,0.0
2010-05-27,0.0
2010-05-28,12.406
2010-06-02,-11.0368
2010-06-04,12.406
2010-06-10,-11.0368
2010-06-15,12.406
2010-06-21,150.8361
2010-07-07,-60.1333
2010-07-14,-8.0268
2010-08-06,-9.0909
2010-08-11,-40.0
2010-08-12,19.3333
2010-08-23,6.1453
2010-08-31,0.0
2010-09-03,0.0
2010-09-10,31.5789
2010-09-13,0.0
2010-09-14,0.0
2010-09-21,-20.0
2010-10-01,50.0
2010-10-04,-13.3333
2010-10-05,0.0
2010-10-07,0.0
2010-10-08,3.8462
2010-10-13,0.0
2010-10-15,0.0
2010-10-18,0.0
2010-10-20,3.7037
2010-10-21,-10.7143
2010-10-26,-12.0
2010-10-28,-17.7273
2010-10-29,65.7459
2010-11-11,-26.6667
2010-11-29,-4.5455
2010-11-30,-4.7619
2010-12-02,0.0
2010-12-06,25.0
2010-12-17,-18.0
2010-12-28,21.4634
2010-12-29,-23.6948
2010-12-31,0.0
2011-01-05,10.526299999999999
2011-01-11,9.5238
2011-01-18,-26.087
2011-01-19,18.2353
2011-01-24,-0.4975
2011-01-26,25.0
2011-01-27,-12.0
2011-02-01,-4.5455
2011-02-04,0.0
2011-02-08,28.5714
2011-02-09,0.0
2011-03-03,-7.4074
2011-03-04,24.0
2011-03-07,6.4516
2011-03-08,6.0606
2011-03-10,-8.5714
2011-03-11,-6.25
2011-03-16,0.0
2011-03-22,0.0
2011-03-25,-6.6667
2011-04-04,7.1429
2011-04-05,-6.6667
2011-04-06,7.1429
2011-04-07,-6.6667
2011-04-08,0.0
2011-04-15,0.0
2011-04-18,0.0
2011-04-19,0.0
2011-04-21,0.0
2011-04-25,0.0
2011-04-29,0.0
2011-05-02,14.2857
2011-05-03,-12.5
2011-05-05,-3.5714
2011-05-19,-7.4074
2011-05-27,16.0
2011-06-06,0.0
2011-06-07,-20.6897
2011-06-09,0.0
2011-06-15,0.0
2011-06-17,8.6957
2011-06-23,4.0
2011-06-28,-23.0769
2011-07-12,30.0
2011-08-03,0.0
2011-08-05,-23.0769
2011-08-09,0.0
2011-08-10,0.0
2011-08-16,30.0
2011-08-17,-30.7692
2011-09-01,0.0
2011-09-14,0.0
2011-09-23,0.0
2011-11-18,0.0
2011-12-08,-33.3333
2011-12-19,25.0
2011-12-30,33.3333
2012-01-05,-20.0
2012-01-06,-6.25
2012-01-19,0.0
