ticker,SNNAQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-07-27,28.3333
2017-07-28,1.5065
2017-07-31,4.7083
2017-08-01,1.1241
2017-08-02,-3.9633000000000003
2017-08-03,-1.5601
2017-08-04,-3.5787
2017-08-07,2.9162
2017-08-08,-2.2154
2017-08-09,6.0063
2017-08-10,-0.5964
2017-08-11,-1.2
2017-08-14,2.5304
2017-08-15,-2.2211
2017-08-16,-2.0697
2017-08-17,-1.8041
2017-08-18,1.7323
2017-08-21,5.7792
2017-08-22,9.7561
2017-08-23,6.6667
2017-08-24,-0.5417
2017-08-25,0.9636
2017-08-28,-1.5768
2017-08-29,6.2816
2017-08-30,5.0377
2017-08-31,-5.5136
2017-09-01,-1.8784999999999998
2017-09-05,-1.222
2017-09-06,0.2062
2017-09-07,-0.9877
2017-09-08,-0.6234
2017-09-11,0.2928
2017-09-12,-1.251
2017-09-13,0.7179
2017-09-14,-1.6771
2017-09-15,-1.8336999999999999
2017-09-18,-3.4318
2017-09-19,4.4534
2017-09-20,-0.9475
2017-09-21,-5.4348
2017-09-22,0.9655
2017-09-25,-0.3643
2017-09-26,-2.4223
2017-09-27,-1.2178
2017-09-28,4.789
2017-09-29,0.6787
2017-10-02,9.3034
2017-10-03,2.6316
2017-10-04,0.2404
2017-10-05,-4.5164
2017-10-06,-1.8418
2017-10-09,-1.7058
2017-10-10,0.2603
2017-10-11,-0.476
2017-10-12,-1.5217
2017-10-13,-0.1325
2017-10-16,-2.2104
2017-10-17,-3.481
2017-10-18,0.9368
2017-10-19,-3.2019
2017-10-20,-2.5407
2017-10-23,4.7221
2017-10-24,-2.9591
2017-10-25,-1.8393000000000002
2017-10-26,-4.4872
2017-10-27,-5.937
2017-10-30,3.9516999999999998
2017-10-31,3.4847
2017-11-01,1.5816
2017-11-02,7.6344
2017-11-03,-0.14
2017-11-06,0.8879
2017-11-07,-6.3918
2017-11-08,-0.0495
2017-11-09,-1.2376
2017-11-10,0.7018
2017-11-13,-2.9368
2017-11-14,-3.7949
2017-11-15,-1.5457999999999998
2017-11-16,-0.2166
2017-11-17,3.2556
2017-11-20,1.051
2017-11-21,-1.04
2017-11-22,0.6831
2017-11-24,0.261
2017-11-27,3.3316
2017-11-28,3.1234
2017-11-29,-1.4167
2017-11-30,-0.0991
2017-12-01,0.1488
2017-12-04,3.2689
2017-12-05,-1.5348000000000002
2017-12-06,-1.8022
2017-12-07,-1.9344999999999999
2017-12-08,1.4163000000000001
2017-12-11,13.4165
