ticker,SXTC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-01-04,43.5
2019-01-07,6.446
2019-01-08,6.5466
2019-01-09,83.5637
2019-01-10,-35.1464
2019-01-11,-20.0
2019-01-14,-10.4839
2019-01-15,-9.9099
2019-01-16,-4.8
2019-01-17,5.042
2019-01-18,-6.0
2019-01-22,-7.0213
2019-01-23,-9.8398
2019-01-24,-1.5228000000000002
2019-01-25,-2.1649
2019-01-28,-0.1581
2019-01-29,10.8179
2019-01-30,43.8095
2019-01-31,17.7152
2019-02-01,-6.3291
2019-02-04,-13.5135
2019-02-05,8.6806
2019-02-06,-5.4313
2019-02-07,-0.6757
2019-02-08,-2.8912
2019-02-11,1.7513
2019-02-12,-3.4423
2019-02-13,-4.6346
2019-02-14,-2.0561
2019-02-15,0.1908
2019-02-19,1.5238
2019-02-20,-3.3771
2019-02-21,0.9709
2019-02-22,-3.2692
2019-02-25,25.2485
2019-02-26,2.3810000000000002
2019-02-27,-9.9225
2019-02-28,6.8847000000000005
2019-03-01,13.6151
2019-03-04,4.0323
2019-03-05,6.1308
2019-03-06,-8.6008
2019-03-07,-13.0618
2019-03-08,8.8853
2019-03-11,0.1484
2019-03-12,-4.5926
2019-03-13,-0.7764
2019-03-14,-0.1565
2019-03-15,-1.2539
2019-03-18,10.4762
2019-03-19,-7.7586
2019-03-20,-4.0498
2019-03-21,-0.1623
2019-03-22,-0.3252
2019-03-25,3.0995
2019-03-26,0.9494
2019-03-27,4.232
2019-03-28,-0.7519
2019-03-29,3.3333
2019-04-01,-3.6657
2019-04-02,-3.0441
2019-04-03,-1.2559
2019-04-04,2.0668
2019-04-05,1.2461
2019-04-08,-3.0769
2019-04-09,0.3175
2019-04-10,1.4241
2019-04-11,-3.1201
2019-04-12,-1.4493
2019-04-15,0.1634
2019-04-16,1.6313
2019-04-17,-11.7175
2019-04-18,-3.6364
2019-04-22,-0.3774
2019-04-23,0.7576
2019-04-24,-5.8271
2019-04-25,-3.1936
2019-04-26,1.2371
2019-04-29,5.9063
2019-04-30,0.3846
2019-05-01,-9.7701
2019-05-02,1.2739
2019-05-03,1.4675
2019-05-06,2.2727
2019-05-07,-2.0202
2019-05-08,-0.6186
2019-05-09,-6.2241
2019-05-10,-0.2212
2019-05-13,-5.9867
2019-05-14,-4.4811
2019-05-15,6.4198
2019-05-16,-3.2483
2019-05-17,5.036
2019-05-20,-8.4475
2019-05-21,2.7431
2019-05-22,-0.1214
2019-05-23,-3.7667
2019-05-24,4.0404
