ticker,GNMK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-05-28,-10.0
2010-06-01,-7.4074
2010-06-02,-2.4
2010-06-03,1.4344000000000001
2010-06-04,0.0
2010-06-07,-1.6162
2010-06-08,4.5175
2010-06-09,-3.7328
2010-06-10,2.0408
2010-06-11,-2.8
2010-06-14,0.4115
2010-06-15,-0.6148
2010-06-16,-2.4742
2010-06-17,-4.0169
2010-06-18,-1.9824000000000002
2010-06-21,-4.2669
2010-06-22,0.4665
2010-06-23,-0.2336
2010-06-24,0.2342
2010-06-25,-1.4019
2010-06-28,2.3697
2010-06-29,-2.0833
2010-06-30,4.4917
2010-07-01,3.3937
2010-07-02,1.7505
2010-07-06,2.5806
2010-07-07,-0.4193
2010-07-08,-6.1053
2010-07-09,6.5022
2010-07-12,0.0
2010-07-13,-4.0
2010-07-14,-4.386
2010-07-15,2.0642
2010-07-16,-0.2247
2010-07-19,-0.4505
2010-07-20,1.81
2010-07-21,-1.1111
2010-07-22,1.1236
2010-07-23,0.0
2010-07-26,-1.3333
2010-07-27,-0.6757
2010-07-28,-2.4943
2010-07-29,2.3256
2010-07-30,1.8182
2010-08-02,-3.5686
2010-08-03,1.8489
2010-08-04,0.0
2010-08-05,2.0455
2010-08-06,0.2227
2010-08-09,0.0
2010-08-10,2.2222
2010-08-11,-1.7391
2010-08-12,-1.3274
2010-08-13,5.796
2010-08-16,-4.6307
2010-08-17,-3.3306
2010-08-18,-0.0029
2010-08-19,3.4483
2010-08-20,-0.4
2010-08-23,-4.0607
2010-08-24,-1.1628
2010-08-25,2.1176
2010-08-26,-2.765
2010-08-27,-1.1848
2010-08-30,-0.2398
2010-09-01,-3.125
2010-09-02,-0.7444
2010-09-03,3.5
2010-09-07,-3.3816
2010-09-08,0.0
2010-09-09,-2.5
2010-09-10,0.2564
2010-09-13,-0.2558
2010-09-14,2.5641
2010-09-15,-4.0
2010-09-16,-3.6458
2010-09-17,-1.6216
2010-09-20,4.9451
2010-09-21,-6.5445
2010-09-22,0.8403
2010-09-23,-6.3889
2010-09-24,-1.4837
2010-09-27,1.8072
2010-09-28,2.071
2010-09-29,-1.1594
2010-09-30,-1.4663
2010-10-01,1.4881
2010-10-04,-0.2933
2010-10-05,10.2941
2010-10-06,2.1333
2010-10-07,-6.5274
2010-10-08,-1.5363
2010-10-11,0.7092
2010-10-12,2.8134
2010-10-13,-3.5583
2010-10-14,5.1136
2010-10-15,-7.5676
2010-10-18,2.3392
2010-10-19,-1.4285999999999999
