ticker,METX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-10-18,0.0
2018-10-19,0.3853
2018-10-22,-0.0709
2018-10-24,0.2088
2018-10-25,1.0417
2018-10-26,-0.8247
2018-10-31,0.0
2018-11-01,0.1029
2018-11-02,-0.1038
2018-11-05,0.3129
2018-11-06,-0.1036
2018-11-07,-0.0259
2018-11-09,-0.0882
2018-11-12,0.1142
2018-11-13,0.6224
2018-11-14,0.1031
2018-11-15,0.0
2018-11-16,0.4119
2018-11-20,-1.2821
2018-11-26,1.0909
2018-12-12,-0.2055
2018-12-17,0.139
2018-12-18,0.0668
2018-12-19,0.2055
2018-12-20,0.5128
2019-01-03,-0.102
2019-01-04,0.4086
2019-01-08,0.0
2019-01-09,0.0
2019-01-15,-0.1017
2019-01-16,0.1018
2019-01-18,0.2035
2019-01-23,-0.1015
2019-01-24,0.0
2019-02-01,0.1016
2019-02-04,0.0
2019-02-06,0.5076
2019-02-07,0.0
2019-02-13,0.404
2019-02-14,-0.4024
2019-02-19,0.404
2019-02-21,0.7042
2019-02-22,0.1998
2019-02-25,0.0997
2019-02-28,-0.0996
2019-03-01,0.0997
2019-03-12,-0.498
2019-03-18,-0.1752
2019-03-19,0.376
2019-03-20,-0.2997
2019-03-21,0.2004
2019-03-26,0.1
2019-03-28,1.2987
2019-03-29,-0.5917
2019-04-01,-0.2976
2019-04-03,-0.199
2019-04-12,-0.3988
2019-04-15,-0.1351
2019-04-16,0.5723
2019-04-17,0.0638
2019-04-24,-0.0996
2019-05-01,-0.4985
2019-05-06,0.4008
2019-05-07,-0.1996
2019-05-09,0.0
2019-05-14,0.2
2019-05-15,0.2924
2019-05-17,-0.3911
2019-05-23,0.0599
2019-05-28,0.0399
2019-06-06,0.0998
2019-06-07,0.0
2019-06-17,0.0997
2019-06-18,-0.2988
2019-06-20,-0.0999
2019-06-24,0.3
2019-06-26,0.997
2019-06-27,-2.6752000000000002
2019-07-01,0.4159
2019-07-08,1.0101
2019-07-10,0.5
2019-07-11,0.0
2019-07-15,0.2985
2019-07-22,-0.2976
2019-07-23,0.0995
2019-07-30,0.0
2019-08-13,0.3976
2019-08-15,0.0
2019-08-16,-0.099
2019-08-20,0.1982
2019-08-28,-0.2967
2019-08-29,0.1984
2019-08-30,0.0
2019-09-05,0.5307
2019-09-06,-0.0355
2019-09-09,0.0
2019-09-10,0.0985
2019-09-11,0.2953
2019-09-12,0.0
2019-09-16,-0.5888
2019-09-18,0.4936
2019-09-19,-0.4813
