ticker,PRLX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-10-09,-9.0909
2007-11-28,15.0
2007-12-03,30.4348
2007-12-04,-19.3333
2007-12-07,147.9339
2007-12-14,-60.0
2007-12-17,0.0
2007-12-18,0.0
2007-12-20,-15.0
2007-12-28,7.8431
2008-01-23,-11.818200000000001
2008-01-30,-31.9588
2008-02-01,36.3636
2008-02-15,-22.2222
2008-02-19,0.0
2008-02-20,0.0
2008-02-22,-7.1429
2008-02-27,-15.3846
2008-03-12,-7.2727
2008-03-18,-5.8824
2008-03-26,-37.5
2008-04-23,26.6667
2008-04-30,-21.0526
2008-05-06,16.6667
2008-06-16,-20.0
2008-07-28,42.8571
2008-07-30,17.5
2008-07-31,4.2553
2008-08-01,8.1633
2008-08-04,3.7736
2008-08-05,10.9091
2008-08-06,0.0
2008-08-08,3.2787
2008-08-11,0.0
2008-10-03,19.0476
2008-10-06,0.0
2008-10-08,10.6667
2008-11-05,14.4578
2008-11-07,-5.2632
2008-11-11,-38.8889
2008-11-14,9.0909
2008-12-16,-41.6667
2009-01-06,-14.2857
2009-01-07,0.0
2009-02-05,0.0
2009-02-17,66.6667
2009-02-18,10.0
2009-03-11,9.0909
2009-03-12,-16.6667
2009-03-16,0.0
2009-03-20,20.0
2009-03-24,0.0
2009-03-25,1.6667
2009-03-26,-1.6393
2009-03-27,3.3333
2009-03-30,1.6129
2009-03-31,0.0
2009-04-01,4.7619
2009-04-02,1.5152
2009-04-03,0.0
2009-04-06,4.4776
2009-04-07,0.0
2009-04-08,4.2857
2009-04-09,12.3288
2009-04-13,6.0976
2009-04-14,8.046
2009-04-15,4.2553
2009-04-16,5.102
2009-04-17,4.8544
2009-04-20,0.0
2009-04-21,5.5556
2009-04-22,9.6491
2009-04-23,3.2
2009-04-24,3.876
2009-04-27,4.4776
2009-04-28,0.0
2009-04-29,0.7143
2009-04-30,3.5461
2009-05-01,0.6849
2009-05-04,-2.0408
2009-05-05,-0.6944
2009-05-06,0.0
2009-05-07,0.0
2009-05-08,0.3497
2009-05-11,3.8327999999999998
2009-05-12,1.0067
2009-05-13,-3.6545
2009-05-14,3.4483
2009-05-15,-4.6667
2009-05-18,6.993
2009-05-19,5.2288
2009-05-20,0.6211
2009-05-21,3.7037
2009-05-22,0.5952
2009-05-26,-8.284
2009-05-27,2.5806
2009-05-28,0.6289
2009-05-29,-4.375
2009-06-01,-1.3072
2009-06-02,-1.3245
2009-06-03,-11.4094
2009-06-04,-2.2727
