ticker,RESI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-12-14,-0.3333
2012-12-17,0.0
2012-12-18,-1.6054
2012-12-19,0.6118
2012-12-20,0.6757
2012-12-21,0.6711
2012-12-24,18.3333
2012-12-26,-4.507
2012-12-27,-4.4248
2012-12-28,0.5556
2012-12-31,-2.7624
2013-01-02,-1.3258
2013-01-03,0.3199
2013-01-04,-1.148
2013-01-07,-0.9677
2013-01-08,3.5831
2013-01-09,12.1384
2013-01-10,-1.6265
2013-01-11,4.9031
2013-01-14,-0.1087
2013-01-15,-0.7617
2013-01-16,-8.8268
2013-01-17,4.3295
2013-01-18,3.0548
2013-01-22,1.0067
2013-01-23,-0.2769
2013-01-24,-0.0555
2013-01-25,0.5556
2013-01-28,1.105
2013-01-29,1.5847
2013-01-30,0.6993
2013-01-31,-3.8462
2013-02-01,3.0556
2013-02-04,-0.7008
2013-02-05,0.76
2013-02-06,0.3233
2013-02-07,-0.2685
2013-02-08,-1.1847
2013-02-11,-1.6349
2013-02-12,-0.277
2013-02-13,-2.2778
2013-02-14,-1.4213
2013-02-15,-1.3264
2013-02-19,-3.9158
2013-02-20,-1.7032
2013-02-21,-0.9901
2013-02-22,7.0
2013-02-25,0.0
2013-02-26,0.1168
2013-02-27,1.5753
2013-02-28,9.3624
2013-03-01,5.042
2013-03-04,2.5
2013-03-05,0.0488
2013-03-06,-2.1453
2013-03-07,-0.299
2013-03-08,0.1999
2013-03-11,1.3965
2013-03-12,0.0984
2013-03-13,-1.5725
2013-03-14,1.3479999999999999
2013-03-15,-1.0345
2013-03-18,1.0951
2013-03-19,-0.7878
2013-03-20,1.5385
2013-03-21,-0.0978
2013-03-22,-1.6145
2013-03-25,-3.2322
2013-03-26,-1.3875
2013-03-27,2.3971
2013-03-28,1.7812000000000001
2013-04-01,-1.2
2013-04-02,-1.1134
2013-04-03,-2.5077
2013-04-04,1.8373
2013-04-05,3.0928
2013-04-08,-0.45
2013-04-09,0.4018
2013-04-10,-0.8004
2013-04-11,-0.2017
2013-04-12,-1.1117
2013-04-15,-3.0148
2013-04-16,0.0527
2013-04-17,0.0
2013-04-18,-0.4739
2013-04-19,-0.582
2013-04-22,0.4258
2013-04-23,-0.7419
2013-04-24,1.9754
2013-04-25,1.8848
2013-04-26,-2.4666
2013-04-29,-0.843
2013-04-30,0.9564
2013-05-01,-1.3158
2013-05-02,-0.16
2013-05-03,-0.2137
2013-05-06,-1.2313
2013-05-07,2.2763999999999998
2013-05-08,0.4769
